,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,question_type_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y,question_type_y
0,0.0,0.0,0.0,5,1,1,where was syd bidwell born,[['dbo:deathPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:deathPlace']],['dbo:birthPlace'],factoid
1,0.5,0.5,0.5,19,2,2,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbp:leader']",factoid,0.0,0.0,0.0,19,2,0,"[['dbo:affiliation'], ['dbo:affiliation']]",[],factoid
2,0.0,0.0,0.0,9,1,1,which one of slade's albums was released in 1973?,[['dbo:type']],['dbo:artist'],factoid,0.0,0.0,0.0,9,1,1,[['dbo:type']],['dbo:artist'],factoid
3,0.5,0.5,0.5,17,2,2,Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?,"[['dbp:office'], ['dbp:predecessor']]","['dbo:predecessor', 'dbp:predecessor']",list,0.0,0.0,0.0,17,2,0,"[['dbp:office'], ['dbp:predecessor']]",[],list
4,0.0,0.0,0.0,8,1,0,Do the west coast airlines fly to seattle?,[['dbo:targetAirport']],[],boolean,0.0,0.0,0.0,8,1,0,[['dbo:targetAirport']],[],boolean
5,0.0,0.0,0.0,12,1,1,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],['dbp:artist'],factoid,0.0,0.0,0.0,12,1,0,[['dbp:associatedActs']],[],factoid
6,0.0,0.0,0.0,5,1,1,Where is roussan camille from,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid
7,0.0,0.0,0.0,9,1,1,What is the official residence of Sarah Kazemy ?,[['dbp:residence']],['dbo:residence'],factoid,0.0,0.0,0.0,9,1,0,[['dbp:residence']],[],factoid
8,0.0,0.0,0.0,6,1,0,Was Reza Amrollahi born in Iran?,[['dbp:birthplace']],[],boolean,0.0,0.0,0.0,6,1,1,[['dbp:birthplace']],['dbo:birthPlace'],boolean
9,0.0,0.0,0.0,6,1,0,What country is lawson robinson from?,[['dbo:birthPlace']],[],factoid,0.0,0.0,0.0,6,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid
10,0.0,0.0,0.0,11,2,0,Count the total religions followed by the ones living in England.,"[['dbp:residence'], ['dbp:religion']]",[],count,0.0,0.0,0.0,11,2,0,"[['dbp:residence'], ['dbp:religion']]",[],count
11,0.0,0.0,0.0,11,1,0,Who is the composer of Girl from the North Country ?,[['dbo:composer']],[],factoid,0.0,0.0,0.0,11,1,1,[['dbo:composer']],['dbo:writer'],factoid
12,0.0,0.0,0.0,17,2,2,Whihc place of birth of the Union State is also the largest city of Union Staete ?,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbo:largestCity']",list,0.0,0.0,0.0,17,2,0,"[['dbp:placeOfBirth'], ['dbp:largestCity']]",[],list
13,0.0,0.0,0.0,10,1,0,how is at the museum of modern art released as?,[['dbo:type']],[],factoid,0.0,0.0,0.0,10,1,0,[['dbo:type']],[],factoid
14,0.0,0.0,0.0,17,2,1,What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]",['dbp:associatedActs'],factoid,0.0,0.0,0.0,17,2,0,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]",[],factoid
15,0.0,0.0,0.0,10,2,0,Who all have appointed governess born in Magnolia Plantation gardens?,"[['dbo:birthPlace'], ['dbp:appointer']]",[],factoid,0.0,0.0,0.0,10,2,0,"[['dbo:birthPlace'], ['dbp:appointer']]",[],factoid
16,0.0,0.0,0.0,6,1,2,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid,0.0,0.0,0.0,6,1,2,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid
17,0.0,0.0,0.0,6,1,2,what country is sidneys knob in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district']",factoid,0.0,0.0,0.0,6,1,0,[['dbo:locatedInArea']],[],factoid
18,0.5,0.5,0.5,21,2,2,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:restingplace']",factoid,0.0,0.0,0.0,21,2,0,"[['dbp:restingplace'], ['dbp:restingplace']]",[],factoid
19,0.5,0.5,0.5,10,2,2,What cities are around the sea which flows into Marmara?,"[['dbp:inflow'], ['dbp:cities']]","['dbo:outflow', 'dbp:cities']",factoid,0.0,0.0,0.0,10,2,0,"[['dbp:inflow'], ['dbp:cities']]",[],factoid
20,0.0,0.0,0.0,10,1,0,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],[],boolean,0.0,0.0,0.0,10,1,0,[['dbp:counties']],[],boolean
21,0.0,0.0,0.0,4,1,1,Who wrote echo park,[['dbo:author']],['dbo:writer'],factoid,0.0,0.0,0.0,4,1,1,[['dbo:author']],['dbo:writer'],factoid
22,0.0,0.0,0.0,10,1,1,Who is the writer of the adventures of tom sawyer,[['dbo:author']],['dbo:writer'],factoid,0.0,0.0,0.0,10,1,2,[['dbo:author']],"['dbo:writer', 'dbp:writer']",factoid
23,0.0,0.0,0.0,9,1,0,Is Rajya Sabha a house of parliament in India?,[['dbp:houses']],[],boolean,0.0,0.0,0.0,9,1,3,[['dbp:houses']],"['dbo:city', 'dbo:location', 'dbo:region']",boolean
24,0.0,0.0,0.0,8,1,0,Does Walson Augustin play for the Brothers Union?,[['dbp:currentclub']],[],boolean,0.0,0.0,0.0,8,1,0,[['dbp:currentclub']],[],boolean
