,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,question_type_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right,question_type_right,training_count
0,0.0,0.0,0.0,5,1,1,where was syd bidwell born,[['dbo:deathPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:deathPlace']],['dbo:birthPlace'],factoid,[[1213]]
1,0.0,0.0,0.0,9,1,1,which one of slade's albums was released in 1973?,[['dbo:type']],['dbo:artist'],factoid,0.0,0.0,0.0,9,1,1,[['dbo:type']],['dbo:artist'],factoid,[[1160]]
2,0.5,0.5,0.5,17,2,2,Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?,"[['dbp:office'], ['dbp:predecessor']]","['dbo:predecessor', 'dbp:predecessor']",list,0.0,0.0,0.0,17,2,1,"[['dbp:office'], ['dbp:predecessor']]",['dbp:successor'],list,"[[17], [26]]"
3,0.0,0.0,0.0,12,1,1,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],['dbp:artist'],factoid,0.0,0.0,0.0,12,1,1,[['dbp:associatedActs']],['dbo:associatedBand'],factoid,[[19]]
4,0.0,0.0,0.0,5,1,1,Where is roussan camille from,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid,[[266]]
5,0.0,0.0,0.0,9,1,1,What is the official residence of Sarah Kazemy ?,[['dbp:residence']],['dbo:residence'],factoid,0.0,0.0,0.0,9,1,1,[['dbp:residence']],['dbo:residence'],factoid,[[25]]
6,0.0,0.0,0.0,6,1,1,Was Reza Amrollahi born in Iran?,[['dbp:birthplace']],['dbo:birthPlace'],boolean,0.0,0.0,0.0,6,1,1,[['dbp:birthplace']],['dbo:birthPlace'],boolean,[[11]]
7,0.0,0.0,0.0,6,1,1,What country is lawson robinson from?,[['dbo:birthPlace']],['dbo:nationality'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid,[[4201]]
8,0.0,0.0,0.0,11,1,1,Who is the composer of Girl from the North Country ?,[['dbo:composer']],['dbp:composer'],factoid,0.0,0.0,0.0,11,1,1,[['dbo:composer']],['dbo:writer'],factoid,[[12]]
9,0.0,0.0,0.0,17,2,1,What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]",['dbp:associatedActs'],factoid,0.0,0.0,0.0,17,2,1,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]",['dbp:artist'],factoid,"[[26], [31]]"
10,0.0,0.0,0.0,6,1,2,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid,0.0,0.0,0.0,6,1,2,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid,[[1072]]
11,0.5,0.5,0.5,21,2,2,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:restingplace']",factoid,0.0,0.0,0.0,21,2,1,"[['dbp:restingplace'], ['dbp:restingplace']]",['dbo:restingPlace'],factoid,"[[25], [25]]"
12,0.0,0.0,0.0,10,1,1,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],['dbo:isPartOf'],boolean,0.0,0.0,0.0,10,1,1,[['dbp:counties']],['dbo:isPartOf'],boolean,[[5]]
13,0.0,0.0,0.0,4,1,1,Who wrote echo park,[['dbo:author']],['dbo:writer'],factoid,0.0,0.0,0.0,4,1,1,[['dbo:author']],['dbo:writer'],factoid,[[426]]
14,0.0,0.0,0.0,10,1,1,Who is the writer of the adventures of tom sawyer,[['dbo:author']],['dbo:writer'],factoid,0.0,0.0,0.0,10,1,2,[['dbo:author']],"['dbo:writer', 'dbp:writer']",factoid,[[426]]
15,0.0,0.0,0.0,8,1,1,Does Walson Augustin play for the Brothers Union?,[['dbp:currentclub']],['dbo:region'],boolean,0.0,0.0,0.0,8,1,1,[['dbp:currentclub']],['dbo:team'],boolean,[[12]]
16,0.0,0.0,0.0,11,1,1,Who was the production company for the film house party 2?,[['dbo:distributor']],['dbp:studio'],factoid,0.0,0.0,0.0,11,1,1,[['dbo:distributor']],['dbp:studio'],factoid,[[119]]
17,0.0,0.0,0.0,6,1,1,what is john c. dvorak's nationality?,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid,[[266]]
18,0.0,0.0,0.0,22,2,1,What is the city of the Maine School of Science and Mathematics is also the resting place of Charles A. Boutelle ?,"[['dbp:restingplace'], ['dbo:authority']]",['dbo:restingPlace'],factoid,0.0,0.0,0.0,22,2,1,"[['dbp:restingplace'], ['dbo:authority']]",['dbo:restingPlace'],factoid,"[[25], [2]]"
19,0.0,0.0,0.0,15,2,1,Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?,"[['dbo:locationCountry'], ['dbo:locationCountry']]",['dbp:genre'],list,0.0,0.0,0.0,15,2,1,"[['dbo:locationCountry'], ['dbo:locationCountry']]",['dbo:country'],list,"[[8], [8]]"
20,0.0,0.0,0.0,6,1,1,What's an album that features dalida,[['dbo:type']],['dbo:artist'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:type']],['dbo:artist'],factoid,[[1160]]
21,0.0,0.0,0.0,8,1,1,What is the genre of the three impostors?,[['dbo:literaryGenre']],['dbo:genre'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:literaryGenre']],['dbo:genre'],factoid,[[750]]
22,0.0,0.0,0.0,8,1,1,Which Fijian city was semisi naevo born in,[['dbp:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,8,1,1,[['dbp:birthPlace']],['dbo:birthPlace'],factoid,[[1526]]
23,0.0,0.0,0.0,9,1,1,Does Air 2000 fly to the north american continent?,[['dbo:destination']],['dbo:artist'],boolean,0.0,0.0,0.0,9,1,1,[['dbo:destination']],['dbo:hubAirport'],boolean,[[10]]
24,0.0,0.0,0.0,6,1,1,What country is anita pointer from?,[['dbo:hometown']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:hometown']],['dbo:nationality'],factoid,[[505]]
25,0.0,0.0,0.0,11,1,1,Music of how many things has been given by Akira Ifukube?,[['dbp:music']],['dbp:birthPlace'],count,0.0,0.0,0.0,11,1,1,[['dbp:music']],['dbo:musicComposer'],count,[[26]]
26,0.0,0.0,0.0,9,1,1,who is a well known native son of crowborough,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:parent'],factoid,0.0,0.0,0.0,9,1,1,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:parent'],factoid,"[[1526, 4201]]"
27,0.5,0.5,0.5,16,2,2,Who is the writer of the Cavalcade of America and The United States Steel Hour ?,"[['dbo:writer'], ['dbo:writer']]","['dbo:writer', 'dbp:writer']",factoid,0.5,0.5,0.5,16,2,2,"[['dbo:writer'], ['dbo:writer']]","['dbo:writer', 'dbp:writer']",factoid,"[[1148], [1148]]"
28,0.0,0.0,0.0,13,2,1,Under which US president was a politician in opposition of John G Schmitz?,"[['dbp:opponent'], ['dbo:incumbent']]",['dbo:opponent'],factoid,0.0,0.0,0.0,13,2,1,"[['dbp:opponent'], ['dbo:incumbent']]",['dbo:leaderName'],factoid,"[[2], [4]]"
29,0.5,0.5,0.5,12,2,2,What is the television show whose channel's parent organisation is Fox Sports?,"[['dbo:channel'], ['dbo:parentOrganisation']]","['dbo:network', 'dbo:parentOrganisation']",factoid,0.0,0.0,0.0,12,2,1,"[['dbo:channel'], ['dbo:parentOrganisation']]",['dbo:network'],factoid,"[[8], [10]]"
30,0.0,0.0,0.0,9,1,1,which california theme park is mickey's toontown located in?,[['dbp:park']],['dbo:location'],factoid,0.0,0.0,0.0,9,1,1,[['dbp:park']],['dbo:location'],factoid,[[2]]
31,0.0,0.0,0.0,5,1,1,where did kwan shan die?,[['dbp:deathPlace']],['dbo:deathPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbp:deathPlace']],['dbo:deathPlace'],factoid,[[178]]
32,0.0,0.0,0.0,6,1,1,Which country is martin lel from,[['dbo:nationality']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:nationality']],['dbo:birthPlace'],factoid,[[266]]
33,0.0,0.0,0.0,5,1,1,Where did davie banda die,[['dbo:birthPlace']],['dbo:deathPlace'],factoid,0.0,0.0,0.0,5,1,1,[['dbo:birthPlace']],['dbo:deathPlace'],factoid,[[4201]]
34,0.0,0.0,0.0,13,1,1,"Was Francisco Pizarro of the monarch of Charles 5, of the roman empire?",[['dbo:monarch']],['dbo:parent'],boolean,0.0,0.0,0.0,13,1,1,[['dbo:monarch']],['dbo:capital'],boolean,[[5]]
35,0.0,0.0,0.0,11,2,2,What awards were presented to the person who produced Paradise place?,"[['dbp:producer'], ['dbp:awards']]","['dbo:award', 'dbo:producer']",factoid,0.0,0.0,0.0,11,2,2,"[['dbp:producer'], ['dbp:awards']]","['dbo:award', 'dbo:producer']",factoid,"[[24], [50]]"
