,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,training_count
2,0.0,0.0,0.0,9,1,0,Which american football players currently plays for Michigan Wolverines?,[['dbp:currentteam']],[],[[3]]
3,0.0,0.0,0.0,6,1,1,Where was harold robert perry born,[['dbp:birthPlace']],['dbo:birthPlace'],[[1526]]
24,0.0,0.0,0.0,10,2,1,whose is famous works are Maniac Magee and Wringer ?,"[['dbp:notableworks'], ['dbp:notableworks']]",['dbo:notableWork'],"[[16], [16]]"
33,0.0,0.0,0.0,10,2,0,Who has fought in wars under commander Arthur St Clair?,"[['dbo:commander'], ['dbp:combatant']]",[],"[[30], [14]]"
42,0.0,0.0,0.0,5,1,0,what is toyota carina's successor?,[['dbo:successor']],[],[[37]]
53,0.0,0.0,0.0,10,1,0,What are the teams for which Wilfred McDonald played for?,[['dbp:playedFor']],[],[[16]]
57,0.0,0.0,0.0,12,1,0,In which television shows have Steven Moffat served as an executive producer?,[['dbo:executiveProducer']],[],[[19]]
61,0.0,0.0,0.0,19,2,0,List all the former partners of the figure skater whose one of the former partner was Andrea poapst ?,"[['dbo:formerPartner'], ['dbo:formerPartner']]",[],"[[7], [7]]"
63,0.0,0.0,0.0,15,2,0,Which writer of Tales of Suspense is also the writer of karakuri Dji Ultimo ?,"[['dbp:author'], ['dbp:writers']]",[],"[[24], [10]]"
69,0.0,0.0,0.0,8,2,1,Who appointed the successor of Charles Pinckney ?,"[['dbo:successor'], ['dbp:appointer']]",['dbp:successor'],"[[37], [11]]"
85,0.0,0.0,0.0,21,2,0,"Give me all commanders which had an important role in both, the Battle of Fort Stephenson and Battle of the Thames?","[['dbo:commander'], ['dbo:commander']]",[],"[[30], [30]]"
91,0.0,0.0,0.0,11,1,0,Which military people served their allegiance to Union (American Civil War)?,[['dbp:allegiance']],[],[[15]]
124,0.0,0.0,0.0,6,1,1,which country is timo salonen from,[['dbp:birthPlace']],['dbo:birthPlace'],[[1526]]
126,0.0,0.0,0.0,12,1,0,What is the mountain whose parent mountain peak is Nevado de Toluca?,[['dbo:parentMountainPeak']],[],[[7]]
129,0.0,0.0,0.0,5,1,0,Which rivers start in Wyoming?,[['dbo:sourceRegion']],[],[[7]]
132,0.0,0.0,0.0,6,1,7,What is an airport inside ontario?,[['dbp:cityServed']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",[[4]]
136,0.0,0.0,0.0,10,1,1,whats the title of an  album by ben webster,[['dbo:type']],['dbo:artist'],[[1160]]
146,0.0,0.0,0.0,17,2,0,"Which founder of European School, karlsruhe is also the jursdiction of Eurpoean Border of Coast guard ?","[['dbp:jurisdiction'], ['dbp:founder']]",[],"[[4], [25]]"
153,0.0,0.0,0.0,12,1,0,"Over how many cities did the Bellaton MMA, Season 11 take place?",[['dbp:city']],[],[[28]]
171,0.0,0.0,0.0,12,1,1,what type of musical compilation is the free for all tour (demo),[['dbo:type']],['dbo:genre'],[[1160]]
186,0.0,0.0,0.0,7,1,1,What is the nationality of jade macrae,[['dbo:hometown']],['dbo:nationality'],[[505]]
195,0.0,0.0,0.0,14,2,0,Name the artist who made Dream Dancing and is often associated with Joe Pass?,"[['dbp:artist'], ['dbo:associatedBand']]",[],"[[38], [22]]"
196,0.0,0.0,0.0,8,1,0,Is Brazilian jiu-jitsu the trainer of Nick Diaz?,[['dbo:trainer']],[],[[7]]
202,0.0,0.0,0.0,9,1,1,which city did josef de mendoza y ríos die,[['dbo:birthPlace']],['dbo:deathPlace'],[[4201]]
204,0.0,0.0,0.0,13,2,0,In which wars were people from the Saudi Arabian ministry of defense involved?,"[['dbp:office'], ['dbp:battles']]",[],"[[17], [35]]"
206,0.0,0.0,0.0,10,2,0,How many teams have LA kings players in them currently?,"[['dbo:team'], ['dbo:formerTeam']]",[],"[[46], [36]]"
209,0.0,0.0,0.0,10,1,1,What kind of album is take this to your grave?,[['dbo:genre']],['dbo:type'],[[5588]]
212,0.0,0.0,0.0,11,1,0,Name a city that starts with an 'f' in sacramento county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]",[],"[[1072, 1153, 1891, 1670]]"
229,0.0,0.0,0.0,10,2,0,How many had their debut team coached by Chip Kelly?,"[['dbp:coach'], ['dbo:debutTeam']]",[],"[[10], [20]]"
261,0.0,0.0,0.0,11,1,1,what is the album released by reggaeton duo Wisin and Yandel?,[['dbo:genre']],['dbo:artist'],[[5588]]
271,0.0,0.0,0.0,8,1,0,Is the charat district a district in peru?,[['dbp:settlementType']],[],[[4]]
274,0.0,0.0,0.0,6,1,0,Give me all members of Prodigy.,[['dbo:bandMember']],[],[[18]]
299,0.0,0.0,0.0,8,1,0,what sport is yanya caballista: city skater about?,[['dbo:genre']],[],[[5588]]
303,0.0,0.0,0.0,12,2,0,How many awards have been given to the founder of Grameen Bank?,"[['dbp:founder'], ['dbo:award']]",[],"[[25], [67]]"
323,0.0,0.0,0.0,13,1,0,Is Another Lonely Night in New York by the musical band Robin Gibb?,[['dbo:musicalBand']],[],[[10]]
357,0.0,0.0,0.0,11,2,0,What is the birth place of the cast of Lagnacha Dhumdhadaka?,"[['dbp:starring'], ['dbp:placeOfBirth']]",[],"[[31], [41]]"
361,0.0,0.0,0.0,8,1,0,What country does wudinna district council belong to,[['dbo:country']],[],[[2554]]
369,0.0,0.0,0.0,9,2,1,Bridge that starts at Seberang Perai crosses over what?,"[['dbo:routeStart'], ['dbp:crosses']]",['dbo:crosses'],"[[10], [15]]"
