,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid,company produced bill ted ?,3,-0.04150297645207336,-0.024271933434911235
42,1.0,1.0,1.0,5,1,1,which company developed google hangouts,[['dbo:developer']],['dbo:developer'],factoid,company developed google hangouts,3,-0.036457908837913736,-0.01768827494635975
133,0.0,0.0,0.0,9,1,0,How many airlines are members of the Star Alliance?,[['dbo:alliance']],[],count,many airlines members star alliance ?,3,-0.03245682541702591,-0.019500271151788966
172,1.0,1.0,1.0,9,1,1,what was the production company behind the last voyage,[['dbp:studio']],['dbp:studio'],factoid,production company behind last voyage,3,-0.034110825853696784,-0.018943983935685325
181,0.5,1.0,0.6666666666666666,8,2,1,"How many companies were founded in Denton, texas?","[['dbo:foundationPlace'], ['dbo:part']]",['dbo:foundationPlace'],count,"many companies founded denton , texas ?",3,-0.036225771942701546,-0.01163647341105036
190,0.0,0.0,0.0,8,1,0,Which company's division is Audi India? Correct Question,[['dbp:divisions']],[],factoid,company 's division audi india ? correct question,3,-0.03413401243660518,-0.014684448358144623
193,0.0,0.0,0.0,10,2,0,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]",[],factoid,manufactured company founded akio morita ?,3,-0.03411839466023313,-0.016328402679003175
200,0.0,0.0,0.0,14,1,1,what is a film that was produced by the company cruise/wagner productions,[['dbp:studio']],['dbo:distributor'],factoid,film produced company cruise/wagner productions,3,-0.048545417016442,-0.021005143866542824
220,0.0,0.0,0.0,12,2,0,How many universities are located in a country led by Olemic Thommessen?,"[['dbo:country'], ['dbp:leaderName']]",[],count,many universities located country led olemic thommessen ?,3,-0.067918047792639,-0.012006499761174644
268,0.0,0.0,0.0,13,2,0,For how many different teams have the players debuted in Houston Astros played?,"[['dbo:team'], ['dbo:debutTeam']]",[],count,many different teams players debuted houston astros played ?,3,-0.029655834902358555,-0.025236684875728024
324,0.5,1.0,0.6666666666666666,12,2,1,What are some other services of the company whose service is Onedrive?,"[['dbo:service'], ['dbp:services']]",['dbp:services'],factoid,services company whose service onedrive ?,3,-0.03511136068979957,-0.015913299862597607
368,1.0,1.0,1.0,6,1,1,Which production company released donnie darko?,[['dbp:studio']],['dbp:studio'],factoid,production company released donnie darko ?,3,-0.026019215691825935,-0.014341389285146795
400,0.0,0.0,0.0,8,2,0,How many people have written for Gangan Comics?,"[['dbp:magazine'], ['dbp:author']]",[],count,many people written gangan comics ?,3,-0.03799748290567253,-0.019192748169072193
416,0.0,0.0,0.0,10,2,0,In which company's boards does the founder of Bomis sit?,"[['dbo:foundedBy'], ['dbo:board']]",[],factoid,company 's boards founder bomis sit ?,3,-0.03177741639693822,-0.017278259783340022
427,0.0,0.0,0.0,10,1,0,How many ingedients are required to make the Ragout Fin?,[['dbo:ingredient']],[],count,many ingedients required make ragout fin ?,3,-0.007327490279304433,-0.03522958393752504
529,0.0,0.0,0.0,9,1,0,How many states does the Pioneer corporation operate in?,[['dbp:country']],[],count,many states pioneer corporation operate ?,3,-0.040416422409250675,-0.004234435624865642
566,1.0,1.0,1.0,6,1,1,which company developed destroy all humans!?,[['dbo:developer']],['dbo:developer'],factoid,company developed destroy humans ! ?,3,-0.03559364492226447,-0.01762469075395062
585,0.0,0.0,0.0,13,2,0,Which TV show's producer is Stephen E. Ambrose and company is DreamWorks Television?,"[['dbo:company'], ['dbo:producer']]",[],factoid,tv show 's producer stephen e. ambrose company dreamworks television ?,3,-0.03415469263881282,-0.01722577288811425
616,1.0,1.0,1.0,7,1,1,How many bands are based in London?,[['dbo:hometown']],['dbo:hometown'],count,many bands based london ?,3,-0.03581328738654475,-0.014008327148599039
