,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
0,1.0,1.0,1.0,8,1,1,Which baseball position is played by alberto Árias,[['dbo:position']],['dbo:position'],factoid
1,1.0,1.0,1.0,6,1,1,what is a smooth jazz album?,[['dbo:genre']],['dbo:genre'],factoid
2,0.0,0.0,0.0,11,1,1,Does Sonny Bill Williams belong in the Canterbury Bankstown Bulldogs club?,[['dbp:club']],['dbp:owner'],boolean
3,1.0,1.0,1.0,7,1,4,"Name a location within fresno county, california","[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region']",list
4,1.0,1.0,1.0,7,1,1,What time zone is cottonwood located in?,[['dbo:timeZone']],['dbo:timeZone'],factoid
5,1.0,1.0,1.0,16,2,2,Name the person whose daughter is Rohan Marley and also another children named Sharon Marley ?,"[['dbo:child'], ['dbp:children']]","['dbo:child', 'dbp:children']",list
6,0.0,0.0,0.0,5,1,1,where was syd bidwell born,[['dbo:deathPlace']],['dbo:birthPlace'],factoid
7,1.0,1.0,1.0,9,1,1,what kind of game is operation flashpoint: red river,[['dbo:genre']],['dbo:genre'],factoid
8,1.0,1.0,1.0,5,1,1,Where was greg ayres born,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
9,1.0,1.0,1.0,10,1,1,how can fabric 12: the amalgamation of soundz be characterized,[['dbo:type']],['dbo:type'],factoid
10,1.0,1.0,1.0,5,1,1,what person is an actor?,[['dbo:occupation']],['dbo:occupation'],factoid
11,1.0,1.0,1.0,9,1,1,what is the name of a speculative fiction book,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid
12,1.0,1.0,1.0,8,1,1,the mofo project/object is what form of music,[['dbo:genre']],['dbo:genre'],factoid
13,1.0,1.0,1.0,9,1,1,what is the name of a goa trance album,[['dbo:genre']],['dbo:genre'],factoid
14,1.0,1.0,1.0,5,1,7,Name a college in england,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list
15,1.0,0.5,0.6666666666666666,6,1,2,which city did zilch originate from,[['dbo:hometown']],"['dbo:birthPlace', 'dbo:hometown']",factoid
16,1.0,1.0,1.0,7,1,1,who is the founder of gap inc.?,[['dbo:foundedBy']],['dbo:foundedBy'],factoid
17,1.0,1.0,1.0,11,1,1,what is the name of an alternative rock artist from japan,[['dbo:genre']],['dbo:genre'],factoid
18,1.0,1.0,1.0,8,1,1,What's a soul music album by otis redding,[['dbo:genre']],['dbo:genre'],factoid
19,0.5,0.5,0.5,19,2,2,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbp:leader']",factoid
20,1.0,1.0,1.0,8,1,1,What is the birth place of don manno?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
21,1.0,1.0,1.0,6,1,1,what kind of album is zen,[['dbo:genre']],['dbo:genre'],factoid
22,1.0,0.5,0.6666666666666666,7,1,2,who is daughter of stanley armour dunham,[['dbo:parent']],"['dbo:child', 'dbo:parent']",factoid
23,1.0,0.5,0.6666666666666666,8,1,2,in which film did thomas newman contribute musically,[['dbo:musicComposer']],"['dbo:musicComposer', 'dbo:writer']",factoid
24,1.0,1.0,1.0,8,1,1,What is an example of a psychobilly album,[['dbo:genre']],['dbo:genre'],factoid
25,1.0,1.0,1.0,8,1,1,who produced the film from hand to mouth,[['dbo:producer']],['dbo:producer'],factoid
26,1.0,1.0,1.0,8,1,1,what is roger rodrigues da silva playing position,[['dbo:position']],['dbo:position'],factoid
27,1.0,1.0,1.0,7,1,1,where was david williams's place of death,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
28,1.0,1.0,1.0,9,1,1,what kind of metal is the album my kantele,[['dbo:genre']],['dbo:genre'],factoid
29,1.0,1.0,1.0,4,1,1,who directed j. edgar?,[['dbo:director']],['dbo:director'],factoid
30,1.0,0.6666666666666666,0.8,6,1,3,which state is howard county in,"[['dbo:country', 'dbo:state']]","['dbo:country', 'dbo:isPartOf', 'dbo:state']",factoid
31,0.0,0.0,0.0,13,1,2,what is the name of an independent Catholic girls' secondary school in Vancouver,[['dbo:type']],"['dbo:city', 'dbo:location']",factoid
32,1.0,1.0,1.0,6,1,1,Who directed the movie american graffiti,[['dbo:director']],['dbo:director'],factoid
33,1.0,1.0,1.0,8,1,1,what type of music does the smiths make,[['dbo:genre']],['dbo:genre'],factoid
34,1.0,1.0,1.0,3,1,1,Name a journalist.,[['dbo:occupation']],['dbo:occupation'],list
35,1.0,1.0,1.0,5,1,1,Which album is rock music,[['dbo:genre']],['dbo:genre'],factoid
36,1.0,1.0,1.0,6,1,7,what is a city in alabama,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid
37,1.0,1.0,1.0,6,1,2,what politician was born in wuppertal,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid
38,0.0,0.0,0.0,5,1,1,what genre is the separation,[['dbo:literaryGenre']],['dbo:genre'],factoid
39,1.0,1.0,1.0,9,1,1,What is the name of an album from yello,[['dbo:artist']],['dbo:artist'],factoid
40,1.0,1.0,1.0,9,1,1,what language is the real football factories international in,[['dbo:language']],['dbo:language'],factoid
41,0.5,1.0,0.6666666666666666,14,2,1,Name the narrators of the album which has been narrated by Alan Thicke ?,"[['dbp:narrated'], ['dbp:narrated']]",['dbp:narrated'],list
42,1.0,1.0,1.0,6,1,1,where was kenneth scott latourette born,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
43,1.0,0.5,0.6666666666666666,5,1,2,who has richard wagner influenced?,[['dbo:influencedBy']],"['dbo:influenced', 'dbo:influencedBy']",factoid
44,1.0,1.0,1.0,9,1,1,which artist is signed to sony bmg music entertainment,[['dbo:recordLabel']],['dbo:recordLabel'],factoid
45,1.0,1.0,1.0,12,1,1,what is the cvg genre of disneys pk: out of the shadows,[['dbo:genre']],['dbo:genre'],factoid
46,1.0,1.0,1.0,8,1,3,what is a city located in thurston county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid
47,0.5,1.0,0.6666666666666666,13,2,1,What company is the one which wrote the google web toolkit and PlayN?,"[['dbo:author'], ['dbo:author']]",['dbo:author'],factoid
48,1.0,1.0,1.0,7,1,1,who is one of kamal jumblatt's children,"[['dbo:parent', 'dbo:child']]",['dbo:child'],factoid
49,1.0,1.0,1.0,12,1,1,What is the name of the album by the artist The Wildhearts?,[['dbo:artist']],['dbo:artist'],factoid
50,1.0,1.0,1.0,12,1,1,who is the publisher of toejam & earl in panic on funkotron,[['dbo:publisher']],['dbo:publisher'],factoid
51,1.0,0.5,0.6666666666666666,4,1,2,Where is denshaw located?,[['dbo:country']],"['dbo:country', 'dbo:isPartOf']",factoid
52,0.0,0.0,0.0,9,1,1,which one of slade's albums was released in 1973?,[['dbo:type']],['dbo:artist'],factoid
53,1.0,1.0,1.0,5,1,1,where was lise lindbæk born,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
54,1.0,0.6666666666666666,0.8,6,1,3,what is located in barren county?,"[['dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid
55,1.0,1.0,1.0,11,1,1,whats the art form that  vasko lipovac is known for,[['dbo:field']],['dbo:field'],factoid
56,1.0,1.0,1.0,9,1,1,what east asian language is spoken in love message?,[['dbo:language']],['dbo:language'],factoid
57,1.0,1.0,1.0,8,1,1,which record company is stina nordenstam signed to,[['dbo:recordLabel']],['dbo:recordLabel'],factoid
58,1.0,1.0,1.0,11,1,1,is the show the shadow line a drama or a comedy,[['dbo:genre']],['dbo:genre'],boolean
59,1.0,0.4,0.5714285714285715,7,1,5,What is a city in shannan prefecture,"[['dbo:city', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid
60,0.0,0.0,0.0,9,1,1,To which military division does Clark Daniel Stearns belong?,[['dbo:militaryBranch']],['dbo:division'],factoid
61,1.0,1.0,1.0,9,1,1,List a ps4 game published by sony computer entertainment,[['dbo:publisher']],['dbo:publisher'],list
62,1.0,1.0,1.0,9,1,7,name a census designated place in washington (u.s. state),"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",list
