,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right
0,1.0,1.0,1.0,8,1,1,what's the name of an adventure video game,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
1,1.0,1.0,1.0,13,1,1,who created the music for the film tie me up! tie me down!,[['dbo:musicComposer']],['dbo:musicComposer'],1.0,1.0,1.0,13,1,1,[['dbo:musicComposer']],['dbo:musicComposer']
2,1.0,1.0,1.0,13,1,1,What genre of music does the album get on the good foot feature,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,13,1,1,[['dbo:genre']],['dbo:genre']
3,1.0,1.0,1.0,7,1,1,what kind of music does austra make?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,7,1,1,[['dbo:genre']],['dbo:genre']
4,1.0,1.0,1.0,8,1,1,What is the most frequent cause of death?,[['dbo:deathCause']],['dbo:deathCause'],1.0,1.0,1.0,8,1,1,[['dbo:deathCause']],['dbo:deathCause']
5,1.0,1.0,1.0,4,1,2,which state contains roundaway,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",1.0,1.0,1.0,4,1,2,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
6,1.0,1.0,1.0,8,1,1,Which position does ricardo rincón play in baseball,[['dbo:position']],['dbo:position'],1.0,1.0,1.0,8,1,1,[['dbo:position']],['dbo:position']
8,1.0,1.0,1.0,9,1,1,what's one of the names of king crimson's album,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,9,1,1,[['dbo:artist']],['dbo:artist']
9,1.0,1.0,1.0,6,1,1,Where did eileen caddy pass away,[['dbo:deathPlace']],['dbo:deathPlace'],1.0,1.0,1.0,6,1,1,[['dbo:deathPlace']],['dbo:deathPlace']
10,1.0,1.0,1.0,9,1,1,Where was the historic battle of chestnut neck fought?,[['dbo:place']],['dbo:place'],1.0,1.0,1.0,9,1,1,[['dbo:place']],['dbo:place']
11,1.0,1.0,1.0,13,1,1,What is the style of architecture of South Loop Printing House District ?,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],1.0,1.0,1.0,13,1,1,[['dbo:architecturalStyle']],['dbo:architecturalStyle']
12,1.0,1.0,1.0,6,1,1,who was the child of nefertari,[['dbo:parent']],['dbo:parent'],1.0,1.0,1.0,6,1,1,[['dbo:parent']],['dbo:parent']
13,1.0,1.0,1.0,5,1,1,what is vernon washington nationality,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
14,1.0,1.0,1.0,5,1,1,what business is permira in,[['dbo:industry']],['dbo:industry'],1.0,1.0,1.0,5,1,1,[['dbo:industry']],['dbo:industry']
15,1.0,1.0,1.0,5,1,7,What is contained in Illinois?,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",1.0,1.0,1.0,5,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
16,1.0,1.0,1.0,9,1,1,in what puerto rican town was carlos delgado born,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,9,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
17,1.0,1.0,1.0,11,1,1,What is the name of a popular album by ryuichi sakamoto,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,11,1,1,[['dbo:artist']],['dbo:artist']
18,1.0,1.0,1.0,6,1,2,What county is maple valley within,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",1.0,1.0,1.0,6,1,2,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
21,1.0,1.0,1.0,5,1,1,who produced the real glory?,[['dbo:producer']],['dbo:producer'],1.0,1.0,1.0,5,1,1,[['dbo:producer']],['dbo:producer']
23,1.0,1.0,1.0,9,1,1,What is the name of an album by heiruspecs,[['dbo:artist']],['dbo:artist'],1.0,1.0,1.0,9,1,1,[['dbo:artist']],['dbo:artist']
24,1.0,0.875,0.9333333333333333,6,1,8,What is a location in canada,"[['dbo:province', 'dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:province', 'dbo:region', 'dbo:state']",1.0,0.8571428571428571,0.923076923076923,6,1,7,"[['dbo:province', 'dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
25,1.0,1.0,1.0,7,1,1,what city is st. charles-muller's hotel located,[['dbo:location']],['dbo:location'],1.0,1.0,1.0,7,1,1,[['dbo:location']],['dbo:location']
26,1.0,1.0,1.0,8,1,1,what kind of music does paolo zavallone like,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
27,1.0,1.0,1.0,11,1,1,what types of book is the problem of the covered bridge,[['dbo:literaryGenre']],['dbo:literaryGenre'],1.0,1.0,1.0,11,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre']
28,1.0,1.0,1.0,7,1,1,what industry is  midwest airlines in,[['dbo:industry']],['dbo:industry'],1.0,1.0,1.0,7,1,1,[['dbo:industry']],['dbo:industry']
29,1.0,1.0,1.0,7,1,1,What genre is the book Bad Business?,[['dbo:literaryGenre']],['dbo:literaryGenre'],1.0,1.0,1.0,7,1,1,[['dbo:literaryGenre']],['dbo:literaryGenre']
30,1.0,1.0,1.0,5,1,1,what genre is tour 2003?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,5,1,1,[['dbo:genre']],['dbo:genre']
32,1.0,1.0,1.0,5,1,1,Where did aranmula ponnamma die,[['dbo:deathPlace']],['dbo:deathPlace'],1.0,1.0,1.0,5,1,1,[['dbo:deathPlace']],['dbo:deathPlace']
33,1.0,1.0,1.0,7,1,1,what movie is produced by michael balcon,[['dbo:producer']],['dbo:producer'],1.0,1.0,1.0,7,1,1,[['dbo:producer']],['dbo:producer']
34,1.0,1.0,1.0,6,1,1,What position does lou vedder play,[['dbo:position']],['dbo:position'],1.0,1.0,1.0,6,1,1,[['dbo:position']],['dbo:position']
35,1.0,1.0,1.0,6,1,1,Where was peter hathaway capstick born?,[['dbo:birthPlace']],['dbo:birthPlace'],1.0,1.0,1.0,6,1,1,[['dbo:birthPlace']],['dbo:birthPlace']
36,1.0,1.0,1.0,5,1,1,who directed steal this movie!,[['dbo:director']],['dbo:director'],1.0,1.0,1.0,5,1,1,[['dbo:director']],['dbo:director']
37,1.0,1.0,1.0,6,1,1,Who wrote the film 800 bullets,[['dbo:writer']],['dbo:writer'],1.0,1.0,1.0,6,1,1,[['dbo:writer']],['dbo:writer']
38,1.0,1.0,1.0,9,1,7,whats one of the largest states in the US,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",1.0,1.0,1.0,9,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
39,1.0,1.0,1.0,6,1,1,What area does jomsom airport serve,[['dbo:city']],['dbo:city'],1.0,1.0,1.0,6,1,1,[['dbo:city']],['dbo:city']
42,1.0,1.0,1.0,7,1,1,which city did duran duran originate from,[['dbo:hometown']],['dbo:hometown'],1.0,1.0,1.0,7,1,1,[['dbo:hometown']],['dbo:hometown']
43,1.0,1.0,1.0,10,1,1,what language is spoken in the film muqaddar ka faisla,[['dbo:language']],['dbo:language'],1.0,1.0,1.0,10,1,1,[['dbo:language']],['dbo:language']
44,1.0,1.0,1.0,7,1,1,which country is filmed in the trial,[['dbo:country']],['dbo:country'],1.0,1.0,1.0,7,1,1,[['dbo:country']],['dbo:country']
46,1.0,1.0,1.0,8,1,1,which rock music album was released in 2005?,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre']
47,1.0,1.0,1.0,11,1,1,What is the genre of the album for all of this,[['dbo:genre']],['dbo:genre'],1.0,1.0,1.0,11,1,1,[['dbo:genre']],['dbo:genre']
