,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
2,0.0,0.0,0.0,6,1,3,What country is charlie monroe from?,[['dbo:birthPlace']],"['dbo:country', 'dbo:hometown', 'dbo:nationality']",factoid
21,0.0,0.0,0.0,8,1,4,Is KOMC-FM the sister station of KOMC (AM)?,[['dbo:sisterStation']],"['dbo:broadcastArea', 'dbo:programmeFormat', 'dbp:area', 'dbp:sisterStations']",boolean
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid
50,0.0,0.0,0.0,7,1,1,what is the nationality of guri schanke?,[['dbo:hometown']],['dbo:nationality'],factoid
89,0.0,0.0,0.0,8,1,1,In what country in the montessori oberschule potsdam,[['dbo:location']],['dbo:country'],factoid
93,0.0,0.0,0.0,9,1,2,what country in east-central Asia is pagamsuren altantulga from,[['dbo:birthPlace']],"['dbo:country', 'dbo:nationality']",factoid
101,0.0,0.0,0.0,7,1,1,What is the dubai zoo membership called?,[['dbp:members']],['dbp:purpose'],factoid
111,0.0,0.0,0.0,9,1,1,What was the title of Joe Lovano's 21st album?,[['dbo:type']],['dbo:artist'],factoid
113,0.0,0.0,0.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbo:city'],boolean
114,0.0,0.0,0.0,7,1,1,Name a song written by michael giacchino,[['dbo:artist']],['dbo:writer'],list
133,0.0,0.0,0.0,9,1,1,How many airlines are members of the Star Alliance?,[['dbo:alliance']],['dbo:hubAirport'],count
136,0.0,0.0,0.0,9,1,1,Were the 1995 south pacific games hosted in tahiti?,[['dbp:hostCity']],['dbo:location'],factoid
173,0.0,0.0,0.0,8,1,1,List the doctoral students of Harry Harlow ?,[['dbp:doctoralStudents']],['dbo:doctoralStudent'],list
190,0.0,0.0,0.0,8,1,0,Which company's division is Audi India? Correct Question,[['dbp:divisions']],[],factoid
194,0.0,0.0,0.0,20,2,0,Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?,"[['dbo:localAuthority'], ['dbo:ceremonialCounty']]",[],factoid
201,0.0,0.0,0.0,21,2,1,What is the local authority of the Buckhurst Hill County High School is also the birth palce of Sarah hampion ?,"[['dbo:localAuthority'], ['dbp:birthPlace']]",['dbp:placeOfBirth'],factoid
204,0.0,0.0,0.0,4,1,0,Is lion an animal?,[['dbo:kingdom']],[],boolean
245,0.0,0.0,0.0,5,1,2,What nationality is johnny clarke,[['dbo:hometown']],"['dbo:birthPlace', 'dbo:nationality']",factoid
247,0.0,0.0,0.0,14,2,4,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:predecessor', 'dbo:successor', 'dbp:predecessor']",factoid
257,0.0,0.0,0.0,8,1,1,what projects did susarla dakshinamurthi primarily work on,[['dbo:genre']],['dbo:writer'],factoid
