,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y
0,0.0,0.0,0.0,10,2,1,whose is famous works are Maniac Magee and Wringer ?,"[['dbp:notableworks'], ['dbp:notableworks']]",['dbo:notableWork'],0.0,0.0,0.0,10,2,0,"[['dbp:notableworks'], ['dbp:notableworks']]",[]
1,0.0,0.0,0.0,19,2,0,List all the former partners of the figure skater whose one of the former partner was Andrea poapst ?,"[['dbo:formerPartner'], ['dbo:formerPartner']]",[],0.0,0.0,0.0,19,2,0,"[['dbo:formerPartner'], ['dbo:formerPartner']]",[]
2,0.0,0.0,0.0,15,2,0,Which writer of Tales of Suspense is also the writer of karakuri Dji Ultimo ?,"[['dbp:author'], ['dbp:writers']]",[],0.0,0.0,0.0,15,2,0,"[['dbp:author'], ['dbp:writers']]",[]
3,0.0,0.0,0.0,8,2,1,Who appointed the successor of Charles Pinckney ?,"[['dbo:successor'], ['dbp:appointer']]",['dbp:successor'],0.0,0.0,0.0,8,2,0,"[['dbo:successor'], ['dbp:appointer']]",[]
4,0.0,0.0,0.0,6,1,1,which country is timo salonen from,[['dbp:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,6,1,1,[['dbp:birthPlace']],['dbo:birthPlace']
5,0.0,0.0,0.0,12,1,0,What is the mountain whose parent mountain peak is Nevado de Toluca?,[['dbo:parentMountainPeak']],[],0.0,0.0,0.0,12,1,0,[['dbo:parentMountainPeak']],[]
6,0.0,0.0,0.0,10,1,1,whats the title of an  album by ben webster,[['dbo:type']],['dbo:artist'],0.0,0.0,0.0,10,1,1,[['dbo:type']],['dbo:artist']
7,0.0,0.0,0.0,17,2,0,"Which founder of European School, karlsruhe is also the jursdiction of Eurpoean Border of Coast guard ?","[['dbp:jurisdiction'], ['dbp:founder']]",[],0.0,0.0,0.0,17,2,0,"[['dbp:jurisdiction'], ['dbp:founder']]",[]
8,0.0,0.0,0.0,7,1,1,What is the nationality of jade macrae,[['dbo:hometown']],['dbo:nationality'],0.0,0.0,0.0,7,1,1,[['dbo:hometown']],['dbo:birthPlace']
9,0.0,0.0,0.0,13,2,0,In which wars were people from the Saudi Arabian ministry of defense involved?,"[['dbp:office'], ['dbp:battles']]",[],0.5,0.5,0.5,13,2,2,"[['dbp:office'], ['dbp:battles']]","['dbo:battle', 'dbp:battles']"
