,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
315,0.0,0.0,0.0,7,1,0,Name the incumbent of Linda Jenness ?,[['dbo:incumbent']],[],list,name incumbent linda jenness ?,0,-0.004199424450155903,0.12052177633077502
328,0.0,0.0,0.0,8,1,0,Name the street address of Rhodes-Haverty Building ?,[['dbp:address']],[],list,name street address rhodes-haverty building ?,0,-0.00945256585770877,0.1011471988981115
371,0.0,0.0,0.0,8,1,0,Name the branch of Carroll E. Lanier ?,[['dbp:branch']],[],list,name branch carroll e. lanier ?,0,-0.002704739334835395,0.12907482895485922
709,0.0,0.0,0.0,8,1,0,Name the associate acts of  Martin Pugh?,[['dbp:associatedActs']],[],list,name associate acts martin pugh ?,0,-0.00685150044099226,0.1131739596878139
908,0.0,0.0,0.0,16,2,0,Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?,"[['dbo:composer'], ['dbp:company']]",[],list,name tv show whose composer judy hart angelo company paramount television ?,0,-0.01528450077583964,0.08144963172424444
941,0.0,0.0,0.0,15,2,0,"Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?","[['dbo:architecturalStyle'], ['dbo:architecturalStyle']]",[],list,"name common architecture grand serail aleppo shaheed minar , kolkata ?",0,-0.013288360750202068,0.0768393746881002
1223,0.0,0.0,0.0,9,1,1,Name a military leader from the battle of culloden,[['dbo:battle']],['dbo:place'],list,name military leader battle culloden,0,-0.007515375711103413,0.12735437139205433
1401,0.0,0.0,0.0,8,1,1,Name a game published by delta tao software?,[['dbo:developer']],['dbo:publisher'],list,name game published delta tao software ?,0,-0.008014054750139162,0.11207409949873835
1727,0.0,0.0,0.0,15,2,0,Name a few whose live in a place where Indian English is an official language,"[['dbo:officialLanguage'], ['dbo:residence']]",[],list,name whose live place indian english official language,0,-0.017293353703003146,0.12195067307237052
1826,0.0,0.0,0.0,13,2,0,Name a fictional character whose relative is Uncle Henry and species is Human?,"[['dbo:relative'], ['dbo:species']]",[],list,name fictional character whose relative uncle henry species human ?,0,-0.014046448355702002,0.0878820711371385
2052,0.0,0.0,0.0,13,1,1,what is the name of the production company that released fright night ii?,[['dbo:distributor']],['dbp:studio'],factoid,name production company released fright night ii ?,0,-0.004232853847216055,0.11069960736776056
2126,0.0,0.0,0.0,11,1,0,Name the home Stadium of Kenya national under-20 football team ?,[['dbp:homeStadium']],[],list,name home stadium kenya national under-20 football team ?,0,-0.019923358096675288,0.05835645217107768
2159,0.0,0.0,0.0,10,1,1,What is the country whose leader name is Grard Larcher?,[['dbp:leaderName']],['dbo:leader'],factoid,country whose leader name grard larcher ?,0,-0.02201274082595402,0.1155488211384275
2275,0.0,0.0,0.0,20,2,0,Name the scientist whose supervisor was John Robert Woodyard and has won Norbert Wiener Award for Social and Professional Responsibility?,"[['dbp:doctoralAdvisor'], ['dbp:prizes']]",[],list,name scientist whose supervisor john robert woodyard norbert wiener award social professional responsibility ?,0,-0.02017667071102544,0.06607013515761216
2367,0.0,0.0,0.0,10,1,0,Name the movies writtten by the group Monty Python ?,[['dbp:writer']],[],list,name movies writtten group monty python ?,0,-0.005649402463028121,0.10435642195509545
3162,0.0,0.0,0.0,13,2,0,Name the subsidary of Tandem Computers which was founded by Jim Harris ?,"[['dbo:foundedBy'], ['dbo:subsidiary']]",[],list,name subsidary tandem computers founded jim harris ?,0,-0.011702675941968959,0.09078275083223637
3299,1.0,0.14285714285714285,0.25,11,1,7,"what  is the name of a province in dello, lombardy",[['dbo:country']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,"name province dello , lombardy",0,-0.005793868744999201,0.13269454770087794
3302,0.0,0.0,0.0,15,2,0,What is the settlement whose neighboring municipalities is Lancy and mayor name is Esther Alder?,"[['dbo:mayor'], ['dbp:neighboringMunicipalities']]",[],factoid,settlement whose neighboring municipalities lancy mayor name esther alder ?,0,-0.013265434251705907,0.07808213008716705
3487,0.0,0.0,0.0,15,2,0,What was founded by pina Records which has name of Geography of Puerto Rico ?,"[['dbp:name'], ['dbp:founded']]",[],factoid,founded pina records name geography puerto rico ?,0,-0.009469358778238473,0.10446066531444025
3547,0.0,0.0,0.0,16,2,0,Name the officeholder who hasa child named Augustus and has an associate named Marcus Bibulus ?,"[['dbo:associate'], ['dbp:children']]",[],list,name officeholder hasa child named augustus associate named marcus bibulus ?,0,-0.01599183377885812,0.07230798085191861
3685,0.0,0.0,0.0,19,2,1,Name the office holder who has a child named Lori Black and resting place is Alta Mesa Memorial Park?,"[['dbo:child'], ['dbp:restingPlace']]",['dbp:children'],list,name office holder child named lori black resting place alta mesa memorial park ?,0,-0.019783139063167397,0.07704008773788028
