,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,question_type_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y,question_type_y
0,0.0,0.0,0.0,5,1,3,where was syd bidwell born,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbo:nationality', 'dbp:birthPlace']",factoid,0.0,0.0,0.0,5,1,3,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbo:hometown', 'dbp:birthPlace']",factoid
1,0.0,0.0,0.0,12,1,3,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:musicalArtist', 'dbp:artist']",factoid,0.0,0.0,0.0,12,1,3,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:bandMember', 'dbp:currentMembers']",factoid
2,0.0,0.0,0.0,6,1,3,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf', 'dbo:state']",factoid,0.0,0.0,0.0,6,1,3,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district', 'dbo:isPartOf']",factoid
3,0.0,0.0,0.0,10,1,3,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],"['dbo:genre', 'dbo:isPartOf', 'dbo:sourceRegion']",boolean,0.0,0.0,0.0,10,1,3,[['dbp:counties']],"['dbo:isPartOf', 'dbo:locatedInArea', 'dbo:state']",boolean
4,0.0,0.0,0.0,8,1,3,Does Walson Augustin play for the Brothers Union?,[['dbp:currentclub']],"['dbo:distributor', 'dbo:region', 'dbo:state']",boolean,0.0,0.0,0.0,8,1,3,[['dbp:currentclub']],"['dbo:formerTeam', 'dbo:team', 'dbp:playedFor']",boolean
5,0.0,0.0,0.0,9,1,3,Does Air 2000 fly to the north american continent?,[['dbo:destination']],"['dbo:artist', 'dbo:successor', 'dbp:destinations']",boolean,0.0,0.0,0.0,9,1,3,[['dbo:destination']],"['dbo:hubAirport', 'dbo:targetAirport', 'dbp:destinations']",boolean
6,0.0,0.0,0.0,13,2,3,Under which US president was a politician in opposition of John G Schmitz?,"[['dbp:opponent'], ['dbo:incumbent']]","['dbo:opponent', 'dbo:president', 'dbo:residence']",factoid,0.0,0.0,0.0,13,2,3,"[['dbp:opponent'], ['dbo:incumbent']]","['dbo:leader', 'dbo:leaderName', 'dbo:president']",factoid
7,0.0,0.0,0.0,9,1,3,which california theme park is mickey's toontown located in?,[['dbp:park']],"['dbo:country', 'dbo:isPartOf', 'dbo:location']",factoid,0.0,0.0,0.0,9,1,3,[['dbp:park']],"['dbo:city', 'dbo:location', 'dbo:region']",factoid
8,0.0,0.0,0.0,14,2,3,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:cpu', 'dbo:manufacturer', 'dbo:successor']",factoid,0.0,0.0,0.0,14,2,3,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:predecessor', 'dbo:successor']",factoid
9,0.0,0.0,0.0,10,1,3,What are the names of books written by george orwell?,[['dbo:literaryGenre']],"['dbo:author', 'dbo:notableWork', 'dbo:restingPlace']",factoid,0.0,0.0,0.0,10,1,3,[['dbo:literaryGenre']],"['dbo:author', 'dbo:notableWork', 'dbp:author']",factoid
