,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
0,1.0,1.0,1.0,5,1,1,where did edouard izac die,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid
1,1.0,1.0,1.0,7,1,1,who was the publisher of metal marines,[['dbo:publisher']],['dbo:publisher'],factoid
2,0.0,0.0,0.0,6,1,3,What country is charlie monroe from?,[['dbo:birthPlace']],"['dbo:country', 'dbo:hometown', 'dbo:nationality']",factoid
3,1.0,1.0,1.0,7,1,1,Which album was released by jurassic 5?,[['dbo:type']],['dbo:type'],factoid
4,1.0,0.5,0.6666666666666666,5,1,2,who wrote the martian child,[['dbo:author']],"['dbo:author', 'dbo:writer']",factoid
5,1.0,0.5,0.6666666666666666,8,1,2,what company created the game jet set radio,[['dbo:publisher']],"['dbo:developer', 'dbo:publisher']",factoid
6,1.0,1.0,1.0,9,1,1,post-punk is a music genre that what artist plays?,[['dbo:genre']],['dbo:genre'],factoid
7,1.0,1.0,1.0,5,1,2,which tv program is horror,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",factoid
8,1.0,1.0,1.0,4,1,1,Where is akbar buried?,[['dbo:restingPlace']],['dbo:restingPlace'],factoid
9,1.0,1.0,1.0,5,1,1,where did frank shannon die?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
10,1.0,1.0,1.0,10,1,1,which artist works under the record label sony music entertainment,[['dbo:recordLabel']],['dbo:recordLabel'],factoid
11,1.0,1.0,1.0,5,1,2,which county is ingram in,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid
12,1.0,0.5,0.6666666666666666,5,1,2,What genre is theocracy in?,[['dbo:genre']],"['dbo:genre', 'dbo:literaryGenre']",factoid
13,1.0,1.0,1.0,4,1,1,who plays the piano?,[['dbo:instrument']],['dbo:instrument'],factoid
14,1.0,1.0,1.0,6,1,1,which japanese band features bass guitar,[['dbo:instrument']],['dbo:instrument'],factoid
15,0.5,0.25,0.3333333333333333,15,2,4,What is the religion of the leader of South Korean legislative election of 1992 ?,"[['dbp:leader'], ['dbo:religion']]","['dbo:party', 'dbo:religion', 'dbp:party', 'dbp:religion']",factoid
16,1.0,1.0,1.0,8,1,1,Name a baseball player that plays left fielder.,[['dbo:position']],['dbo:position'],list
17,1.0,1.0,1.0,9,1,1,which position in football does issiar dia play in?,[['dbo:position']],['dbo:position'],factoid
18,1.0,1.0,1.0,7,1,1,whats an example of a victorian architecture,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],factoid
19,1.0,1.0,1.0,7,1,1,what position does diego romano play at?,[['dbo:position']],['dbo:position'],factoid
20,1.0,1.0,1.0,5,1,1,Where is jason wilnis from?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
21,0.0,0.0,0.0,8,1,4,Is KOMC-FM the sister station of KOMC (AM)?,[['dbo:sisterStation']],"['dbo:broadcastArea', 'dbo:programmeFormat', 'dbp:area', 'dbp:sisterStations']",boolean
22,1.0,1.0,1.0,9,1,1,who is a person that died due to lymphoma,[['dbo:deathCause']],['dbo:deathCause'],factoid
23,1.0,1.0,1.0,5,1,2,Name someone born in massachusetts,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",list
24,1.0,1.0,1.0,10,1,1,Who did the music for the film the man outside,[['dbo:musicComposer']],['dbo:musicComposer'],factoid
25,1.0,1.0,1.0,7,1,1,what language is spoken in the inheritors,[['dbo:language']],['dbo:language'],factoid
26,1.0,1.0,1.0,10,1,1,what type of music is on battle royale original soundtrack,[['dbo:genre']],['dbo:genre'],factoid
27,1.0,1.0,1.0,10,1,1,what type of book is the name of the rose?,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid
28,1.0,0.3333333333333333,0.5,6,1,3,which city did jerry lynch die,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbo:deathPlace', 'dbp:deathPlace']",factoid
29,1.0,1.0,1.0,9,1,1,where in ohio is ilse lehiste's place of death?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
30,1.0,1.0,1.0,6,1,1,Who produced the film ex machina,[['dbo:producer']],['dbo:producer'],factoid
31,1.0,1.0,1.0,6,1,2,which man was born in newark?,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid
32,1.0,1.0,1.0,9,1,1,What sort of music does doctors of madness play,[['dbo:genre']],['dbo:genre'],factoid
33,1.0,1.0,1.0,4,1,1,where was blackpresident from,[['dbo:hometown']],['dbo:hometown'],factoid
34,1.0,1.0,1.0,10,1,1,What is the name of a song by rick derringer,[['dbo:artist']],['dbo:artist'],factoid
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid
36,1.0,1.0,1.0,6,1,2,"which state is schertz, texas in?","[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid
37,1.0,1.0,1.0,7,1,1,is self-efficacy a history or psychology book,[['dbo:literaryGenre']],['dbo:literaryGenre'],boolean
38,1.0,1.0,1.0,6,1,1,which state was justin levens born,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
39,0.5,0.5,0.5,11,2,2,In which city are the schools whose district is Mumbai Suburban?,"[['dbp:district'], ['dbo:city']]","['dbo:city', 'dbo:state']",factoid
40,1.0,1.0,1.0,8,1,1,what type of music is the man who?,[['dbo:genre']],['dbo:genre'],factoid
41,1.0,1.0,1.0,6,1,1,where was micah lewensohn given birth,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
42,1.0,1.0,1.0,5,1,1,which company developed google hangouts,[['dbo:developer']],['dbo:developer'],factoid
43,1.0,1.0,1.0,8,1,1,where did ferdinand de la cerda's life end,[['dbo:deathPlace']],['dbo:deathPlace'],factoid
44,1.0,1.0,1.0,11,1,1,what is the name of a track recorded by charles mingus,[['dbo:artist']],['dbo:artist'],factoid
45,1.0,1.0,1.0,7,1,1,what was lauren woodland's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
46,1.0,1.0,1.0,8,1,1,what genre of music does edwin starr compose?,[['dbo:genre']],['dbo:genre'],factoid
47,1.0,1.0,1.0,9,1,2,who is new york city the birth place of,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid
48,1.0,1.0,1.0,10,1,1,what genre of music is the album holy war in?,[['dbo:genre']],['dbo:genre'],factoid
49,1.0,1.0,1.0,5,1,1,where is cmx originally from,[['dbo:hometown']],['dbo:hometown'],factoid
50,0.0,0.0,0.0,7,1,1,what is the nationality of guri schanke?,[['dbo:hometown']],['dbo:nationality'],factoid
51,1.0,1.0,1.0,5,1,2,Where did tom watson die?,"[['dbp:deathPlace', 'dbo:deathPlace']]","['dbo:deathPlace', 'dbp:deathPlace']",factoid
52,1.0,0.5,0.6666666666666666,7,1,2,Which corporation owns the city messenger newspaper?,[['dbo:owner']],"['dbo:owner', 'dbp:owner']",factoid
53,1.0,1.0,1.0,8,1,1,Name an artist on the label flip records,[['dbo:recordLabel']],['dbo:recordLabel'],list
54,1.0,0.6666666666666666,0.8,12,2,3,"What nation is Hornito located in, where Jamie Bateman Cayn died too?","[['dbo:country'], ['dbo:deathPlace']]","['dbo:country', 'dbo:deathPlace', 'dbp:deathPlace']",factoid
55,1.0,0.6666666666666666,0.8,12,2,3,What is the destinations of the airline whose headquarters is in Manchester?,"[['dbp:headquarters'], ['dbp:destinations']]","['dbo:destination', 'dbp:destinations', 'dbp:headquarters']",factoid
56,1.0,1.0,1.0,9,1,1,which spanish catalan composer was born in  tortosa,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:birthPlace'],factoid
57,1.0,1.0,1.0,8,1,2,who is a film producer born in istanbul,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",factoid
58,1.0,1.0,1.0,6,1,1,What religion does vincent nyanzi practice,[['dbo:religion']],['dbo:religion'],factoid
59,1.0,1.0,1.0,6,1,1,What's a notable science fiction book,[['dbo:literaryGenre']],['dbo:literaryGenre'],factoid
60,1.0,0.5,0.6666666666666666,5,1,2,who did thomas aquinas influence,[['dbo:influencedBy']],"['dbo:influenced', 'dbo:influencedBy']",factoid
61,1.0,1.0,1.0,10,1,2,which animated fantasy show was released in 1980s by nbc?,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",factoid
62,1.0,1.0,1.0,11,1,2,Name a city that starts with an 'f' in sacramento county,"[['dbo:locatedInArea', 'dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']",list
63,1.0,0.5,0.6666666666666666,6,1,2,who is sibyl mary hathaway's child?,[['dbo:child']],"['dbo:child', 'dbo:parent']",factoid
64,1.0,0.5,0.6666666666666666,6,1,2,What country is anita pointer from?,[['dbo:hometown']],"['dbo:hometown', 'dbo:nationality']",factoid
65,1.0,1.0,1.0,10,1,1,what are songs played by the the allman brothers band,[['dbo:artist']],['dbo:artist'],factoid
66,1.0,1.0,1.0,7,1,1,what type of release is life enigma?,[['dbo:type']],['dbo:type'],factoid
67,1.0,1.0,1.0,6,1,2,Name a cricketer born in bermuda,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbp:birthPlace']",list
68,0.5,0.5,0.5,11,2,2,In which cities do some railways operated by Russian railways start?,"[['dbo:operatedBy'], ['dbo:routeStart']]","['dbo:routeEnd', 'dbo:routeStart']",factoid
69,1.0,0.5,0.6666666666666666,5,1,2,How did freddy heineken die?,[['dbo:deathCause']],"['dbo:deathCause', 'dbo:deathPlace']",factoid
70,1.0,0.6666666666666666,0.8,9,1,3,Who in the film industry was born in kalamazoo,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbo:occupation', 'dbp:birthPlace']",factoid
71,1.0,1.0,1.0,7,1,1,is bloodhype a fantasy book or romance,[['dbo:literaryGenre']],['dbo:literaryGenre'],boolean
72,1.0,1.0,1.0,9,1,1,what social worker is also known as a writer,[['dbo:occupation']],['dbo:occupation'],factoid
73,1.0,0.5,0.6666666666666666,8,1,2,what art forms did pier francesco mola create,[['dbo:field']],"['dbo:field', 'dbo:movement']",factoid
74,1.0,1.0,1.0,7,1,1,Who is an artist of rock music?,[['dbo:genre']],['dbo:genre'],factoid
75,1.0,1.0,1.0,9,1,1,What profession does Catherine Janice Yap De Belen have?,[['dbo:occupation']],['dbo:occupation'],factoid
76,1.0,1.0,1.0,6,1,2,What state is knox city in,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid
77,1.0,1.0,1.0,8,1,1,what is fireman jim flynn's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
78,1.0,1.0,1.0,8,1,1,What is the game genre of monster bash,[['dbo:genre']],['dbo:genre'],factoid
79,1.0,1.0,1.0,8,1,1,what kind of music does solution .45 perform,[['dbo:genre']],['dbo:genre'],factoid
80,1.0,1.0,1.0,4,1,1,Who published dead nation,[['dbo:publisher']],['dbo:publisher'],factoid
81,1.0,1.0,1.0,5,1,1,"What genre is mirror, mirror",[['dbo:genre']],['dbo:genre'],factoid
82,1.0,1.0,1.0,9,1,1,what style of music does bingo players play in?,[['dbo:genre']],['dbo:genre'],factoid
83,1.0,1.0,1.0,6,1,1,what albums are rock music albums,[['dbo:genre']],['dbo:genre'],factoid
84,1.0,1.0,1.0,7,1,1,what genre of music is josh pyke,[['dbo:genre']],['dbo:genre'],factoid
