,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
0,1.0,1.0,1.0,5,1,1,where did edouard izac die,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid,edouard izac die,0,-0.04027640144293359,-0.018829236948730895
2,0.0,0.0,0.0,6,1,1,What country is charlie monroe from?,[['dbo:birthPlace']],['dbo:nationality'],factoid,country charlie monroe ?,0,-0.0517084218871539,-0.01915180555699161
4,0.0,0.0,0.0,5,1,1,who wrote the martian child,[['dbo:author']],['dbo:writer'],factoid,wrote martian child,0,-0.0372886916209359,-0.017088018720300746
5,1.0,1.0,1.0,8,1,1,what company created the game jet set radio,[['dbo:publisher']],['dbo:publisher'],factoid,company created game jet set radio,0,-0.03311973726839328,-0.022061441276068624
7,1.0,1.0,1.0,5,1,2,which tv program is horror,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",factoid,tv program horror,0,-0.025930606596414562,-0.016831294740742336
8,1.0,1.0,1.0,4,1,1,Where is akbar buried?,[['dbo:restingPlace']],['dbo:restingPlace'],factoid,akbar buried ?,0,-0.029947007456186885,-0.014821645926341004
9,1.0,1.0,1.0,5,1,1,where did frank shannon die?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,frank shannon die ?,0,-0.04524699137933656,-0.023022643574993278
11,1.0,1.0,1.0,5,1,2,which county is ingram in,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid,county ingram,0,-0.0467602081527238,-0.00552390939039485
13,1.0,1.0,1.0,4,1,1,who plays the piano?,[['dbo:instrument']],['dbo:instrument'],factoid,plays piano ?,0,-0.018349200730884804,-0.01565459982065359
15,0.0,0.0,0.0,15,2,0,What is the religion of the leader of South Korean legislative election of 1992 ?,"[['dbp:leader'], ['dbo:religion']]",[],factoid,religion leader south korean legislative election 1992 ?,0,-0.032008552436227924,-0.014991264920620003
20,1.0,1.0,1.0,5,1,1,Where is jason wilnis from?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,jason wilnis ?,0,-0.027160923233867235,-0.012462360792675528
21,0.0,0.0,0.0,8,1,0,Is KOMC-FM the sister station of KOMC (AM)?,[['dbo:sisterStation']],[],boolean,komc-fm sister station komc ( ) ?,0,-0.025864417727905886,-0.015136697196569661
22,1.0,1.0,1.0,9,1,1,who is a person that died due to lymphoma,[['dbo:deathCause']],['dbo:deathCause'],factoid,person died due lymphoma,0,-0.04755139152204925,0.02220087230032681
25,1.0,1.0,1.0,7,1,1,what language is spoken in the inheritors,[['dbo:language']],['dbo:language'],factoid,language spoken inheritors,0,-0.04136648376336745,-0.023559007334562548
29,1.0,1.0,1.0,9,1,1,where in ohio is ilse lehiste's place of death?,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,ohio ilse lehiste 's place death ?,0,-0.038471216850939176,-0.004415697032395501
30,1.0,1.0,1.0,6,1,1,Who produced the film ex machina,[['dbo:producer']],['dbo:producer'],factoid,produced film ex machina,0,-0.0467632458644978,-0.01959755481238817
33,1.0,1.0,1.0,4,1,1,where was blackpresident from,[['dbo:hometown']],['dbo:hometown'],factoid,blackpresident,0,-0.027089266128949775,-0.01404706530330553
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid,company produced bill ted ?,0,-0.04150297645207336,-0.024271933434911235
36,1.0,1.0,1.0,6,1,2,"which state is schertz, texas in?","[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",factoid,"state schertz , texas ?",0,-0.044680206568139424,-0.006648875324874983
37,1.0,1.0,1.0,7,1,1,is self-efficacy a history or psychology book,[['dbo:literaryGenre']],['dbo:literaryGenre'],boolean,self-efficacy history psychology book,0,-0.0178174393557061,-0.01223472726659472
39,0.5,1.0,0.6666666666666666,11,2,1,In which city are the schools whose district is Mumbai Suburban?,"[['dbp:district'], ['dbo:city']]",['dbo:city'],factoid,city schools whose district mumbai suburban ?,0,-0.05777056109689593,0.011373285717585682
41,1.0,1.0,1.0,6,1,1,where was micah lewensohn given birth,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,micah lewensohn given birth,0,-0.0338631446905354,-0.017002991397644645
42,1.0,1.0,1.0,5,1,1,which company developed google hangouts,[['dbo:developer']],['dbo:developer'],factoid,company developed google hangouts,0,-0.036457908837913736,-0.01768827494635975
43,1.0,1.0,1.0,8,1,1,where did ferdinand de la cerda's life end,[['dbo:deathPlace']],['dbo:deathPlace'],factoid,ferdinand de la cerda 's life end,0,-0.0292550082481776,-0.01877368768617035
45,1.0,1.0,1.0,7,1,1,what was lauren woodland's place of birth?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,lauren woodland 's place birth ?,0,-0.04359015754754234,-0.007170791988476317
49,1.0,1.0,1.0,5,1,1,where is cmx originally from,[['dbo:hometown']],['dbo:hometown'],factoid,cmx originally,0,-0.029699535269469092,-0.015555842176682221
50,0.0,0.0,0.0,7,1,1,what is the nationality of guri schanke?,[['dbo:hometown']],['dbo:nationality'],factoid,nationality guri schanke ?,0,-0.033933397661378546,-0.018914696294142087
51,1.0,1.0,1.0,5,1,1,Where did tom watson die?,"[['dbp:deathPlace', 'dbo:deathPlace']]",['dbo:deathPlace'],factoid,tom watson die ?,0,-0.04370957563727722,-0.024913473641604806
52,1.0,1.0,1.0,7,1,1,Which corporation owns the city messenger newspaper?,[['dbo:owner']],['dbo:owner'],factoid,corporation owns city messenger newspaper ?,0,-0.05884052518783356,0.006135263184194016
54,0.0,0.0,0.0,12,2,0,"What nation is Hornito located in, where Jamie Bateman Cayn died too?","[['dbo:country'], ['dbo:deathPlace']]",[],factoid,"nation hornito located , jamie bateman cayn died ?",0,-0.05267201265342957,-0.006766261594812791
55,0.0,0.0,0.0,12,2,0,What is the destinations of the airline whose headquarters is in Manchester?,"[['dbp:headquarters'], ['dbp:destinations']]",[],factoid,destinations airline whose headquarters manchester ?,0,-0.029675498095285118,-0.012220019284465802
58,1.0,1.0,1.0,6,1,1,What religion does vincent nyanzi practice,[['dbo:religion']],['dbo:religion'],factoid,religion vincent nyanzi practice,0,-0.03266453324050626,-0.017983811331035705
60,1.0,0.5,0.6666666666666666,5,1,2,who did thomas aquinas influence,[['dbo:influencedBy']],"['dbo:influenced', 'dbo:influencedBy']",factoid,thomas aquinas influence,0,-0.03359487321095071,-0.0160149651320109
61,1.0,1.0,1.0,10,1,2,which animated fantasy show was released in 1980s by nbc?,"[['dbo:genre', 'dbp:genre']]","['dbo:genre', 'dbp:genre']",factoid,animated fantasy show released 1980s nbc ?,0,-0.016369475845959602,-0.011367422111483437
63,1.0,0.5,0.6666666666666666,6,1,2,who is sibyl mary hathaway's child?,[['dbo:child']],"['dbo:child', 'dbo:parent']",factoid,sibyl mary hathaway 's child ?,0,-0.028253443816473947,-0.014191142681662815
64,0.0,0.0,0.0,6,1,1,What country is anita pointer from?,[['dbo:hometown']],['dbo:nationality'],factoid,country anita pointer ?,0,-0.045754679124018795,-0.016042716856579424
