,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,question_type_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y,question_type_y
0,0.0,0.0,0.0,5,1,3,where was syd bidwell born,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbo:nationality', 'dbp:birthPlace']",factoid,0.0,0.0,0.0,5,1,3,[['dbo:deathPlace']],"['dbo:birthPlace', 'dbo:hometown', 'dbp:birthPlace']",factoid
1,0.5,0.3333333333333333,0.4,19,2,3,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbp:constituency', 'dbp:leader']",factoid,0.5,0.3333333333333333,0.4,19,2,3,"[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbo:leaderName', 'dbp:party']",factoid
2,0.0,0.0,0.0,12,1,3,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:musicalArtist', 'dbp:artist']",factoid,0.0,0.0,0.0,12,1,3,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:bandMember', 'dbp:currentMembers']",factoid
3,0.5,0.3333333333333333,0.4,12,2,3,What is a common ingredient used in boyt Blodpalt and Kaszanka ?,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:ingredient', 'dbp:country', 'dbp:mainIngredient']",factoid,0.5,0.3333333333333333,0.4,12,2,3,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:ingredient', 'dbo:location', 'dbp:mainIngredient']",factoid
4,0.0,0.0,0.0,17,2,3,Whihc place of birth of the Union State is also the largest city of Union Staete ?,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbo:largestCity', 'dbp:birthPlace']",list,0.5,0.3333333333333333,0.4,17,2,3,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbp:birthPlace', 'dbp:placeOfBirth']",list
5,0.5,0.3333333333333333,0.4,17,2,3,What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]","['dbo:associatedMusicalArtist', 'dbo:musicComposer', 'dbp:associatedActs']",factoid,0.5,0.3333333333333333,0.4,17,2,3,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]","['dbo:associatedBand', 'dbp:artist', 'dbp:starring']",factoid
6,0.0,0.0,0.0,6,1,3,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf', 'dbo:state']",factoid,0.0,0.0,0.0,6,1,3,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district', 'dbo:isPartOf']",factoid
7,0.5,0.3333333333333333,0.4,14,2,3,What is the county seat of the county which has an Evergreen High School?,"[['dbo:county'], ['dbo:countySeat']]","['dbo:countySeat', 'dbo:district', 'dbo:localAuthority']",factoid,0.0,0.0,0.0,14,2,3,"[['dbo:county'], ['dbo:countySeat']]","['dbo:location', 'dbo:region', 'dbo:state']",factoid
8,0.5,0.3333333333333333,0.4,13,2,3,What show had NTSC format and theme music composed by  Ron Grainer?,"[['dbo:format'], ['dbp:themeMusicComposer']]","['dbp:creator', 'dbp:genre', 'dbp:themeMusicComposer']",factoid,0.5,0.3333333333333333,0.4,13,2,3,"[['dbo:format'], ['dbp:themeMusicComposer']]","['dbo:programmeFormat', 'dbp:genre', 'dbp:themeMusicComposer']",factoid
9,0.5,0.3333333333333333,0.4,10,2,3,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:locationCity', 'dbo:manufacturer', 'dbp:keyPeople']",factoid,0.5,0.3333333333333333,0.4,10,2,3,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:manufacturer', 'dbo:product', 'dbp:products']",factoid
10,0.5,0.3333333333333333,0.4,21,2,3,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:restingplace']",factoid,0.5,0.3333333333333333,0.4,21,2,3,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:restingplace']",factoid
11,0.5,0.3333333333333333,0.4,10,2,3,What cities are around the sea which flows into Marmara?,"[['dbp:inflow'], ['dbp:cities']]","['dbo:outflow', 'dbp:cities', 'dbp:outflow']",factoid,0.5,0.3333333333333333,0.4,10,2,3,"[['dbp:inflow'], ['dbp:cities']]","['dbo:mouthMountain', 'dbo:riverMouth', 'dbp:cities']",factoid
12,0.0,0.0,0.0,10,1,3,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],"['dbo:genre', 'dbo:isPartOf', 'dbo:sourceRegion']",boolean,0.0,0.0,0.0,10,1,3,[['dbp:counties']],"['dbo:isPartOf', 'dbo:locatedInArea', 'dbo:state']",boolean
13,0.5,0.3333333333333333,0.4,14,2,3,What is the largest city in the country where the San Marcos River originates?,"[['dbo:sourceMountain'], ['dbo:largestCity']]","['dbo:largestCity', 'dbo:origin', 'dbp:birthplace']",factoid,0.0,0.0,0.0,14,2,3,"[['dbo:sourceMountain'], ['dbo:largestCity']]","['dbo:capital', 'dbo:country', 'dbo:sourceCountry']",factoid
14,0.0,0.0,0.0,8,1,3,Does Walson Augustin play for the Brothers Union?,[['dbp:currentclub']],"['dbo:distributor', 'dbo:region', 'dbo:state']",boolean,0.0,0.0,0.0,8,1,3,[['dbp:currentclub']],"['dbo:formerTeam', 'dbo:team', 'dbp:playedFor']",boolean
