,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations
0,1.0,1.0,1.0,8,1,1,what's the name of an adventure video game,[['dbo:genre']],['dbo:genre']
1,1.0,1.0,1.0,8,1,1,what is the language for the film beharoopia,[['dbo:language']],['dbo:language']
2,0.0,0.0,0.0,9,1,0,Which american football players currently plays for Michigan Wolverines?,[['dbp:currentteam']],[]
3,0.0,0.0,0.0,6,1,1,Where was harold robert perry born,[['dbp:birthPlace']],['dbo:birthPlace']
4,1.0,1.0,1.0,13,1,1,who created the music for the film tie me up! tie me down!,[['dbo:musicComposer']],['dbo:musicComposer']
5,1.0,1.0,1.0,13,1,1,What genre of music does the album get on the good foot feature,[['dbo:genre']],['dbo:genre']
6,1.0,1.0,1.0,7,1,1,of which nationality is mário de alencar,[['dbo:birthPlace']],['dbo:birthPlace']
7,1.0,1.0,1.0,7,1,1,what kind of music does austra make?,[['dbo:genre']],['dbo:genre']
8,1.0,1.0,1.0,8,1,1,What is the most frequent cause of death?,[['dbo:deathCause']],['dbo:deathCause']
9,1.0,1.0,1.0,4,1,2,which state contains roundaway,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
10,1.0,1.0,1.0,6,1,1,What's a track by ray brown?,[['dbo:artist']],['dbo:artist']
11,1.0,0.5,0.6666666666666666,5,1,2,Who was born in ypres?,[['dbo:birthPlace']],"['dbo:birthPlace', 'dbp:birthPlace']"
12,1.0,1.0,1.0,3,1,2,Where is powhatan,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']"
13,1.0,1.0,1.0,8,1,1,what style of music does shellac play in?,[['dbo:genre']],['dbo:genre']
14,1.0,1.0,1.0,8,1,1,Which position does ricardo rincón play in baseball,[['dbo:position']],['dbo:position']
15,1.0,1.0,1.0,6,1,1,what is the genre of deepa?,[['dbo:genre']],['dbo:genre']
16,1.0,1.0,1.0,8,1,1,Who is an artist on columbia records label?,[['dbo:recordLabel']],['dbo:recordLabel']
17,1.0,1.0,1.0,7,1,1,where did truc ho get his start,[['dbo:hometown']],['dbo:hometown']
18,1.0,1.0,1.0,8,1,1,what is the ethnicity of carlene hatcher polite,[['dbo:ethnicity']],['dbo:ethnicity']
19,1.0,1.0,1.0,7,1,2,Which landing is found in yalobusha county?,"[['dbo:region', 'dbo:isPartOf', 'dbo:location']]","['dbo:isPartOf', 'dbo:location']"
20,1.0,1.0,1.0,5,1,1,where was basil twist born?,[['dbo:birthPlace']],['dbo:birthPlace']
21,1.0,1.0,1.0,10,1,1,what type of release is the album pray for reign,[['dbo:type']],['dbo:type']
22,1.0,1.0,1.0,6,1,1,what track did lene lovich sing,[['dbo:artist']],['dbo:artist']
23,1.0,1.0,1.0,4,1,1,Name a famous photographer,[['dbo:occupation']],['dbo:occupation']
24,0.0,0.0,0.0,10,2,1,whose is famous works are Maniac Magee and Wringer ?,"[['dbp:notableworks'], ['dbp:notableworks']]",['dbo:notableWork']
25,1.0,1.0,1.0,10,1,1,what country was living in a perfect world filmed in?,[['dbo:country']],['dbo:country']
26,1.0,1.0,1.0,9,1,1,what's one of the names of king crimson's album,[['dbo:artist']],['dbo:artist']
27,1.0,1.0,1.0,10,1,1,where in the united states is saint john mountain located?,[['dbo:locatedInArea']],['dbo:locatedInArea']
28,1.0,1.0,1.0,6,1,1,Where did eileen caddy pass away,[['dbo:deathPlace']],['dbo:deathPlace']
29,1.0,1.0,1.0,9,1,1,Where was the historic battle of chestnut neck fought?,[['dbo:place']],['dbo:place']
30,1.0,1.0,1.0,13,1,1,What is the style of architecture of South Loop Printing House District ?,[['dbo:architecturalStyle']],['dbo:architecturalStyle']
31,1.0,1.0,1.0,7,1,1,Which country was flickering lights released in,[['dbo:country']],['dbo:country']
32,1.0,1.0,1.0,9,1,1,what is the circulation areas of the bhutan times,[['dbo:headquarter']],['dbo:headquarter']
33,0.0,0.0,0.0,10,2,0,Who has fought in wars under commander Arthur St Clair?,"[['dbo:commander'], ['dbp:combatant']]",[]
34,1.0,1.0,1.0,6,1,1,who was the child of nefertari,[['dbo:parent']],['dbo:parent']
35,1.0,1.0,1.0,7,1,1,what type of music is intensive care,[['dbo:genre']],['dbo:genre']
36,1.0,1.0,1.0,5,1,1,what is vernon washington nationality,[['dbo:birthPlace']],['dbo:birthPlace']
37,1.0,1.0,1.0,6,1,1,What music genre does Ashanti produce?,[['dbo:genre']],['dbo:genre']
38,1.0,1.0,1.0,6,1,1,which attraction is located in pattaya,[['dbo:location']],['dbo:location']
39,1.0,1.0,1.0,6,1,1,What religion does jimmy upton practice,[['dbo:religion']],['dbo:religion']
