,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,question_type_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right,question_type_right
3,1.0,1.0,1.0,10,1,1,how can fabric 12: the amalgamation of soundz be characterized,[['dbo:type']],['dbo:type'],factoid,0.0,0.0,0.0,10,1,1,[['dbo:type']],['dbo:genre'],factoid
24,0.5,0.5,0.5,17,2,2,Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?,"[['dbp:office'], ['dbp:predecessor']]","['dbo:predecessor', 'dbp:predecessor']",list,0.0,0.0,0.0,17,2,1,"[['dbp:office'], ['dbp:predecessor']]",['dbp:successor'],list
32,1.0,1.0,1.0,8,1,1,Do the west coast airlines fly to seattle?,[['dbo:targetAirport']],['dbo:targetAirport'],boolean,0.0,0.0,0.0,8,1,1,[['dbo:targetAirport']],['dbo:hubAirport'],boolean
70,1.0,1.0,1.0,7,1,1,What album was produced by big business,[['dbo:artist']],['dbo:artist'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:artist']],['dbo:type'],factoid
77,1.0,1.0,1.0,7,1,1,Does the river shannon originate from Dowra?,[['dbo:sourceMountain']],['dbo:sourceMountain'],boolean,0.0,0.0,0.0,7,1,1,[['dbo:sourceMountain']],['dbo:riverMouth'],boolean
99,0.5,1.0,0.6666666666666666,10,2,1,Who all have appointed governess born in Magnolia Plantation gardens?,"[['dbo:birthPlace'], ['dbp:appointer']]",['dbo:birthPlace'],factoid,0.0,0.0,0.0,10,2,1,"[['dbo:birthPlace'], ['dbp:appointer']]",['dbo:location'],factoid
118,1.0,0.5,0.6666666666666666,8,1,2,who is the mother of margaret woodrow wilson,[['dbo:child']],"['dbo:child', 'dbo:parent']",factoid,0.0,0.0,0.0,8,1,1,[['dbo:child']],['dbo:parent'],factoid
124,0.5,1.0,0.6666666666666666,14,2,1,What is the county seat of the county which has an Evergreen High School?,"[['dbo:county'], ['dbo:countySeat']]",['dbo:countySeat'],factoid,0.0,0.0,0.0,14,2,1,"[['dbo:county'], ['dbo:countySeat']]",['dbo:location'],factoid
133,0.5,0.5,0.5,21,2,2,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:restingplace']",factoid,0.0,0.0,0.0,21,2,1,"[['dbp:restingplace'], ['dbp:restingplace']]",['dbo:restingPlace'],factoid
162,1.0,1.0,1.0,9,1,1,Is Rajya Sabha a house of parliament in India?,[['dbp:houses']],['dbp:houses'],boolean,0.0,0.0,0.0,9,1,3,[['dbp:houses']],"['dbo:city', 'dbo:location', 'dbo:region']",boolean
175,0.5,1.0,0.6666666666666666,14,2,1,What is the largest city in the country where the San Marcos River originates?,"[['dbo:sourceMountain'], ['dbo:largestCity']]",['dbo:largestCity'],factoid,0.0,0.0,0.0,14,2,1,"[['dbo:sourceMountain'], ['dbo:largestCity']]",['dbo:sourceCountry'],factoid
199,0.5,1.0,0.6666666666666666,6,2,1,What do typically NGOs work for?,"[['dbp:type'], ['dbp:purpose']]",['dbp:purpose'],factoid,0.0,0.0,0.0,6,2,1,"[['dbp:type'], ['dbp:purpose']]",['dbo:industry'],factoid
216,1.0,1.0,1.0,12,1,1,What is the television show whose opening theme is Te Deum (Charpentier)?,[['dbo:openingTheme']],['dbo:openingTheme'],factoid,0.0,0.0,0.0,12,1,1,[['dbo:openingTheme']],['dbp:themeMusicComposer'],factoid
221,1.0,1.0,1.0,7,1,1,What is an album by george winston?,[['dbo:artist']],['dbo:artist'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:artist']],['dbo:type'],factoid
250,1.0,0.6666666666666666,0.8,10,1,3,what American rock and pop singer was born in chicago,"[['dbp:birthPlace', 'dbo:birthPlace']]","['dbo:birthPlace', 'dbo:genre', 'dbp:birthPlace']",factoid,0.0,0.0,0.0,10,1,1,"[['dbp:birthPlace', 'dbo:birthPlace']]",['dbo:genre'],factoid
255,1.0,1.0,1.0,8,1,1,what kind of album is payment of existence,[['dbo:genre']],['dbo:genre'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:genre']],['dbo:type'],factoid
260,1.0,1.0,1.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbp:cityServed'],boolean,0.0,0.0,0.0,7,1,1,[['dbp:cityServed']],['dbo:city'],boolean
263,0.5,1.0,0.6666666666666666,11,2,1,List the television shows whose network's executive officer is Steve Burke.,"[['dbo:network'], ['dbo:keyPerson']]",['dbo:network'],list,0.0,0.0,0.0,11,2,1,"[['dbo:network'], ['dbo:keyPerson']]",['dbp:voices'],list
264,0.5,1.0,0.6666666666666666,19,2,1,What is the home town of the Band which is the previous work of Sammy Hagar & Friends ?,"[['dbo:previousWork'], ['dbo:hometown']]",['dbo:hometown'],factoid,0.0,0.0,0.0,19,2,1,"[['dbo:previousWork'], ['dbo:hometown']]",['dbo:subsequentWork'],factoid
286,1.0,1.0,1.0,7,1,1,what is the nationality of thabo nthethe,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid
287,1.0,1.0,1.0,6,1,1,What country is harry winston from,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid
294,1.0,1.0,1.0,10,1,1,what is the show a step into the past about,[['dbo:genre']],['dbo:genre'],factoid,0.0,0.0,0.0,10,1,1,[['dbo:genre']],['dbo:country'],factoid
302,1.0,0.5,0.6666666666666666,10,1,2,Which film was beverley cross credited as a contributor for?,[['dbo:writer']],"['dbo:musicComposer', 'dbo:writer']",factoid,0.0,0.0,0.0,10,1,1,[['dbo:writer']],['dbo:musicComposer'],factoid
327,0.5,1.0,0.6666666666666666,9,2,1,Which city's neighboring municipalities are Lancy and  Pregny-Chambsy?,"[['dbo:neighboringMunicipality'], ['dbp:neighboringMunicipalities']]",['dbp:neighboringMunicipalities'],factoid,0.0,0.0,0.0,9,2,1,"[['dbo:neighboringMunicipality'], ['dbp:neighboringMunicipalities']]",['dbo:nearestCity'],factoid
340,1.0,1.0,1.0,10,1,1,is world gone crazy a soundtrack or a studio album,[['dbo:type']],['dbo:type'],boolean,0.0,0.0,0.0,10,1,1,[['dbo:type']],['dbo:genre'],boolean
342,0.5,0.5,0.5,16,2,2,Who is the writer of the Cavalcade of America and The United States Steel Hour ?,"[['dbo:writer'], ['dbo:writer']]","['dbo:writer', 'dbp:writer']",factoid,0.5,0.5,0.5,16,2,2,"[['dbo:writer'], ['dbo:writer']]","['dbo:writer', 'dbp:writer']",factoid
344,1.0,1.0,1.0,8,1,1,mickey ferriols is a citizen of what nation?,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid
368,0.5,1.0,0.6666666666666666,7,2,1,Titus software publishes which genre of games?,"[['dbp:publisher'], ['dbo:genre']]",['dbo:genre'],list,0.0,0.0,0.0,7,2,1,"[['dbp:publisher'], ['dbo:genre']]",['dbo:publisher'],list
378,0.5,0.5,0.5,12,2,2,What is the television show whose channel's parent organisation is Fox Sports?,"[['dbo:channel'], ['dbo:parentOrganisation']]","['dbo:network', 'dbo:parentOrganisation']",factoid,0.0,0.0,0.0,12,2,1,"[['dbo:channel'], ['dbo:parentOrganisation']]",['dbo:network'],factoid
401,1.0,1.0,1.0,7,1,1,Is Amharic the official language of Ethiopia?,[['dbo:officialLanguage']],['dbo:officialLanguage'],boolean,0.0,0.0,0.0,7,1,1,[['dbo:officialLanguage']],['dbo:languageFamily'],boolean
413,1.0,0.5,0.6666666666666666,7,1,2,Which music label is soulhead apart of?,[['dbo:recordLabel']],"['dbo:genre', 'dbo:recordLabel']",factoid,0.0,0.0,0.0,7,1,1,[['dbo:recordLabel']],['dbo:genre'],factoid
438,1.0,1.0,1.0,6,1,1,what game is about professional wrestling?,[['dbo:genre']],['dbo:genre'],factoid,0.0,0.0,0.0,6,1,1,[['dbo:genre']],['dbo:occupation'],factoid
463,1.0,1.0,1.0,7,1,1,What film has molly nyman contributed to,[['dbo:musicComposer']],['dbo:musicComposer'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:musicComposer']],['dbo:writer'],factoid
489,1.0,1.0,1.0,8,1,1,which central american country is elvis scott from,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,8,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid
530,0.5,0.5,0.5,17,2,2,List the pole drivers in the grand prixes where Williams Grand Prix Engineering was a first team?,"[['dbp:firstTeam'], ['dbo:poleDriver']]","['dbo:firstDriver', 'dbo:poleDriver']",list,0.0,0.0,0.0,17,2,1,"[['dbp:firstTeam'], ['dbo:poleDriver']]",['dbp:race'],list
544,1.0,1.0,1.0,7,1,1,"what nationality is roger a. pielke, jr.?",[['dbo:birthPlace']],['dbo:birthPlace'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:birthPlace']],['dbo:nationality'],factoid
563,0.5,1.0,0.6666666666666666,10,2,1,Which awards are presented by the committee located in Stockholm?,"[['dbp:headquarters'], ['dbo:presenter']]",['dbo:presenter'],factoid,0.0,0.0,0.0,10,2,1,"[['dbp:headquarters'], ['dbo:presenter']]",['dbo:award'],factoid
