,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
16,1.0,1.0,1.0,8,1,1,Name a baseball player that plays left fielder.,[['dbo:position']],['dbo:position'],list,name baseball player plays left fielder .,0,-0.008836541881462393,0.10284033549612429
297,1.0,1.0,1.0,8,1,1,Name a tv program created by eric kripke,[['dbo:creator']],['dbo:creator'],list,name tv program created eric kripke,0,-0.0032850464749319603,0.12015405624346945
315,0.0,0.0,0.0,7,1,0,Name the incumbent of Linda Jenness ?,[['dbo:incumbent']],[],list,name incumbent linda jenness ?,0,-0.004199424450155903,0.12052177633077502
328,0.0,0.0,0.0,8,1,0,Name the street address of Rhodes-Haverty Building ?,[['dbp:address']],[],list,name street address rhodes-haverty building ?,0,-0.00945256585770877,0.1011471988981115
353,1.0,1.0,1.0,11,1,1,What is the name of a film directed by grigori aleksandrov,[['dbo:director']],['dbo:director'],factoid,name film directed grigori aleksandrov,0,-0.02368987284080859,0.12682094390794757
363,1.0,1.0,1.0,10,1,1,What is the name of one of chet atkins albums,[['dbo:artist']],['dbo:artist'],factoid,name one chet atkins albums,0,-8.987298272506958e-05,0.12753722722630298
371,0.0,0.0,0.0,8,1,0,Name the branch of Carroll E. Lanier ?,[['dbp:branch']],[],list,name branch carroll e. lanier ?,0,-0.002704739334835395,0.12907482895485922
709,0.0,0.0,0.0,8,1,0,Name the associate acts of  Martin Pugh?,[['dbp:associatedActs']],[],list,name associate acts martin pugh ?,0,-0.00685150044099226,0.1131739596878139
776,1.0,1.0,1.0,8,1,1,Name a composition from the composer Roy Wood.,[['dbo:writer']],['dbo:writer'],list,name composition composer roy wood .,0,-0.004441480699293517,0.12933253133710076
813,1.0,1.0,1.0,7,1,1,Name a political party associated with communism,[['dbo:ideology']],['dbo:ideology'],list,name political party associated communism,0,-0.001773952771965966,0.12787239185838747
908,0.0,0.0,0.0,16,2,0,Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?,"[['dbo:composer'], ['dbp:company']]",[],list,name tv show whose composer judy hart angelo company paramount television ?,0,-0.01528450077583964,0.08144963172424444
941,0.0,0.0,0.0,15,2,0,"Name the common architecture of the Grand Serail of Aleppo and Shaheed Minar, Kolkata ?","[['dbo:architecturalStyle'], ['dbo:architecturalStyle']]",[],list,"name common architecture grand serail aleppo shaheed minar , kolkata ?",0,-0.013288360750202068,0.0768393746881002
1042,1.0,1.0,1.0,10,1,1,whats the name of one of lou rawls's chirstmas songs,[['dbo:artist']],['dbo:artist'],factoid,whats name one lou rawls 's chirstmas songs,0,-0.001520505130151666,0.1164694803837543
1052,1.0,1.0,1.0,7,1,1,Name a film directed by Éric rohmer.,[['dbo:director']],['dbo:director'],list,name film directed éric rohmer .,0,-0.023579978548897377,0.12468842264215882
1110,1.0,1.0,1.0,8,1,1,Name a baseball player that played first baseman,[['dbo:position']],['dbo:position'],list,name baseball player played first baseman,0,-0.009929827640752538,0.0998297670907392
1205,1.0,1.0,1.0,10,1,1,what's the name of a show that arlene phillips created,[['dbo:creator']],['dbo:creator'],list,'s name show arlene phillips created,0,-0.0022658044056869213,0.12722036210938584
