,recall_x,precision_x,f1_x,word_count_x,rel_count_x,sys_relations_x,question,gold_relations_x,system_relations_x,question_type_x,recall_y,precision_y,f1_y,word_count_y,rel_count_y,sys_relations_y,gold_relations_y,system_relations_y,question_type_y,training_count
0,0.5,0.2,0.2857142857142857,19,2,5,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbo:birthPlace', 'dbo:isPartOf', 'dbp:constituency', 'dbp:leader']",factoid,0.5,0.2,0.2857142857142857,19,2,5,"[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbo:leaderName', 'dbo:party', 'dbp:leader', 'dbp:party']",factoid,"[[15], [15]]"
1,0.0,0.0,0.0,12,1,5,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:associatedMusicalArtist', 'dbo:bandMember', 'dbo:musicalArtist', 'dbp:artist']",factoid,0.0,0.0,0.0,12,1,5,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:bandMember', 'dbo:formerBandMember', 'dbp:currentMembers', 'dbp:pastMembers']",factoid,[[19]]
2,0.5,0.2,0.2857142857142857,12,2,5,What is a common ingredient used in boyt Blodpalt and Kaszanka ?,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:city', 'dbo:country', 'dbo:ingredient', 'dbp:country', 'dbp:mainIngredient']",factoid,0.5,0.2,0.2857142857142857,12,2,5,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:currency', 'dbo:ingredient', 'dbo:location', 'dbp:locationCity', 'dbp:mainIngredient']",factoid,"[[21], [21]]"
3,0.0,0.0,0.0,17,2,5,Whihc place of birth of the Union State is also the largest city of Union Staete ?,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbo:largestCity', 'dbp:birthPlace', 'dbp:birthplace', 'dbp:placeOfDeath']",list,0.5,0.2,0.2857142857142857,17,2,5,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbo:capital', 'dbo:largestCity', 'dbp:birthPlace', 'dbp:placeOfBirth']",list,"[[41], [4]]"
4,0.0,0.0,0.0,6,1,5,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,0.0,0.0,0.0,6,1,5,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district', 'dbo:isPartOf', 'dbo:region', 'dbo:state']",factoid,[[1072]]
5,0.5,0.2,0.2857142857142857,14,2,5,What is the county seat of the county which has an Evergreen High School?,"[['dbo:county'], ['dbo:countySeat']]","['dbo:birthPlace', 'dbo:countySeat', 'dbo:district', 'dbo:localAuthority', 'dbo:sport']",factoid,0.0,0.0,0.0,14,2,5,"[['dbo:county'], ['dbo:countySeat']]","['dbo:capital', 'dbo:location', 'dbo:region', 'dbo:state', 'dbp:state']",factoid,"[[10], [10]]"
6,0.5,0.2,0.2857142857142857,13,2,5,What show had NTSC format and theme music composed by  Ron Grainer?,"[['dbo:format'], ['dbp:themeMusicComposer']]","['dbo:genre', 'dbo:type', 'dbp:creator', 'dbp:genre', 'dbp:themeMusicComposer']",factoid,0.5,0.2,0.2857142857142857,13,2,5,"[['dbo:format'], ['dbp:themeMusicComposer']]","['dbo:programmeFormat', 'dbo:subsequentWork', 'dbp:artist', 'dbp:genre', 'dbp:themeMusicComposer']",factoid,"[[4], [28]]"
7,0.5,0.2,0.2857142857142857,10,2,5,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:foundationPlace', 'dbo:industry', 'dbo:locationCity', 'dbo:manufacturer', 'dbp:keyPeople']",factoid,0.5,0.2,0.2857142857142857,10,2,5,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:foundationPlace', 'dbo:manufacturer', 'dbo:product', 'dbp:foundation', 'dbp:products']",factoid,"[[25], [58]]"
8,0.5,0.2,0.2857142857142857,21,2,5,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:deathPlace', 'dbp:placeOfBurial', 'dbp:restingPlace', 'dbp:restingplace']",factoid,0.5,0.2,0.2857142857142857,21,2,5,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:placeofburial', 'dbp:restingPlace', 'dbp:restingplace']",factoid,"[[25], [25]]"
9,0.5,0.2,0.2857142857142857,10,2,5,What cities are around the sea which flows into Marmara?,"[['dbp:inflow'], ['dbp:cities']]","['dbo:city', 'dbo:outflow', 'dbo:state', 'dbp:cities', 'dbp:outflow']",factoid,0.5,0.2,0.2857142857142857,10,2,5,"[['dbp:inflow'], ['dbp:cities']]","['dbo:mouthMountain', 'dbo:outflow', 'dbo:riverMouth', 'dbp:cities', 'dbp:mouthLocation']",factoid,"[[7], [31]]"
