,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,question_type_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right,question_type_right
1,1.0,1.0,1.0,9,1,1,what kind of game is operation flashpoint: red river,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:genre']],['dbo:genre'],factoid
2,1.0,1.0,1.0,5,1,1,Where was greg ayres born,[['dbo:birthPlace']],['dbo:birthPlace'],factoid,1.0,1.0,1.0,5,1,1,[['dbo:birthPlace']],['dbo:birthPlace'],factoid
4,1.0,1.0,1.0,8,1,1,the mofo project/object is what form of music,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
5,1.0,1.0,1.0,9,1,1,what is the name of a goa trance album,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:genre']],['dbo:genre'],factoid
6,1.0,1.0,1.0,8,1,1,What's a soul music album by otis redding,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:genre']],['dbo:genre'],factoid
7,0.5,0.5,0.5,19,2,2,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbp:leader']",factoid,0.5,1.0,0.6666666666666666,19,2,1,"[['dbo:affiliation'], ['dbo:affiliation']]",['dbo:affiliation'],factoid
8,1.0,0.5,0.6666666666666666,8,1,2,in which film did thomas newman contribute musically,[['dbo:musicComposer']],"['dbo:musicComposer', 'dbo:writer']",factoid,1.0,1.0,1.0,8,1,1,[['dbo:musicComposer']],['dbo:musicComposer'],factoid
9,1.0,1.0,1.0,8,1,1,who produced the film from hand to mouth,[['dbo:producer']],['dbo:producer'],factoid,1.0,1.0,1.0,8,1,1,[['dbo:producer']],['dbo:producer'],factoid
10,1.0,1.0,1.0,9,1,1,what kind of metal is the album my kantele,[['dbo:genre']],['dbo:genre'],factoid,1.0,1.0,1.0,9,1,1,[['dbo:genre']],['dbo:genre'],factoid
12,1.0,1.0,1.0,6,1,1,Who directed the movie american graffiti,[['dbo:director']],['dbo:director'],factoid,1.0,1.0,1.0,6,1,1,[['dbo:director']],['dbo:director'],factoid
13,1.0,1.0,1.0,6,1,7,what is a city in alabama,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,1.0,1.0,1.0,6,1,7,"[['dbo:locatedInArea', 'dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']]","['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']",factoid
