,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
2,0.0,0.0,0.0,6,1,3,What country is charlie monroe from?,[['dbo:birthPlace']],"['dbo:country', 'dbo:hometown', 'dbo:nationality']",factoid
15,0.5,0.25,0.3333333333333333,15,2,4,What is the religion of the leader of South Korean legislative election of 1992 ?,"[['dbp:leader'], ['dbo:religion']]","['dbo:party', 'dbo:religion', 'dbp:party', 'dbp:religion']",factoid
21,0.0,0.0,0.0,8,1,4,Is KOMC-FM the sister station of KOMC (AM)?,[['dbo:sisterStation']],"['dbo:broadcastArea', 'dbo:programmeFormat', 'dbp:area', 'dbp:sisterStations']",boolean
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid
39,0.5,0.5,0.5,11,2,2,In which city are the schools whose district is Mumbai Suburban?,"[['dbp:district'], ['dbo:city']]","['dbo:city', 'dbo:state']",factoid
50,0.0,0.0,0.0,7,1,1,what is the nationality of guri schanke?,[['dbo:hometown']],['dbo:nationality'],factoid
68,0.5,0.5,0.5,11,2,2,In which cities do some railways operated by Russian railways start?,"[['dbo:operatedBy'], ['dbo:routeStart']]","['dbo:routeEnd', 'dbo:routeStart']",factoid
89,0.0,0.0,0.0,8,1,1,In what country in the montessori oberschule potsdam,[['dbo:location']],['dbo:country'],factoid
93,0.0,0.0,0.0,9,1,2,what country in east-central Asia is pagamsuren altantulga from,[['dbo:birthPlace']],"['dbo:country', 'dbo:nationality']",factoid
101,0.0,0.0,0.0,7,1,1,What is the dubai zoo membership called?,[['dbp:members']],['dbp:purpose'],factoid
111,0.0,0.0,0.0,9,1,1,What was the title of Joe Lovano's 21st album?,[['dbo:type']],['dbo:artist'],factoid
113,0.0,0.0,0.0,7,1,1,Does Fa'a' International Airport serve tahiti too?,[['dbp:cityServed']],['dbo:city'],boolean
114,0.0,0.0,0.0,7,1,1,Name a song written by michael giacchino,[['dbo:artist']],['dbo:writer'],list
133,0.0,0.0,0.0,9,1,1,How many airlines are members of the Star Alliance?,[['dbo:alliance']],['dbo:hubAirport'],count
136,0.0,0.0,0.0,9,1,1,Were the 1995 south pacific games hosted in tahiti?,[['dbp:hostCity']],['dbo:location'],factoid
144,0.5,0.5,0.5,16,2,2,What is the predecessor of the car engine which was succeeded by  BMW M43 ?,"[['dbo:successor'], ['dbp:predecessor']]","['dbo:predecessor', 'dbo:successor']",factoid
173,0.0,0.0,0.0,8,1,1,List the doctoral students of Harry Harlow ?,[['dbp:doctoralStudents']],['dbo:doctoralStudent'],list
181,0.5,0.5,0.5,8,2,2,"How many companies were founded in Denton, texas?","[['dbo:foundationPlace'], ['dbo:part']]","['dbo:foundationPlace', 'dbp:foundation']",count
186,0.5,0.5,0.5,17,2,2,Count the number of ingredient of the foods which have one of the ingredient is Pork ?,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:ingredient', 'dbp:mainIngredient']",count
190,0.0,0.0,0.0,8,1,0,Which company's division is Audi India? Correct Question,[['dbp:divisions']],[],factoid
193,0.5,0.3333333333333333,0.4,10,2,3,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:manufacturer', 'dbo:product', 'dbp:products']",factoid
194,0.0,0.0,0.0,20,2,0,Which ceremonial County of the East Tilbury is also the local authority of the Buckhurst Hill County High School ?,"[['dbo:localAuthority'], ['dbo:ceremonialCounty']]",[],factoid
201,0.0,0.0,0.0,21,2,1,What is the local authority of the Buckhurst Hill County High School is also the birth palce of Sarah hampion ?,"[['dbo:localAuthority'], ['dbp:birthPlace']]",['dbp:placeOfBirth'],factoid
204,0.0,0.0,0.0,4,1,0,Is lion an animal?,[['dbo:kingdom']],[],boolean
207,0.5,0.25,0.3333333333333333,11,2,4,List the television shows whose network's executive officer is Steve Burke.,"[['dbo:network'], ['dbo:keyPerson']]","['dbo:network', 'dbp:judges', 'dbp:network', 'dbp:voices']",list
245,0.0,0.0,0.0,5,1,2,What nationality is johnny clarke,[['dbo:hometown']],"['dbo:birthPlace', 'dbo:nationality']",factoid
247,0.0,0.0,0.0,14,2,4,What is the information appliance whose successor is PlayStation 4 and maker is Foxconn?,"[['dbp:manufacturer'], ['dbp:successor']]","['dbo:manufacturer', 'dbo:predecessor', 'dbo:successor', 'dbp:predecessor']",factoid
257,0.0,0.0,0.0,8,1,1,what projects did susarla dakshinamurthi primarily work on,[['dbo:genre']],['dbo:writer'],factoid
261,0.0,0.0,0.0,10,1,1,Was Zambezi originate in the north western province of zambia?,[['dbp:sourceRegion']],['dbo:origin'],boolean
277,0.0,0.0,0.0,4,1,2,What county is taliesin,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
285,0.0,0.0,0.0,10,1,1,what city in new york did joseph francis flannelly die,[['dbp:deathPlace']],['dbo:deathPlace'],factoid
299,0.0,0.0,0.0,9,1,1,Where is the arena of WPC Dynamo Moscow situated?,[['dbp:arena']],['dbo:location'],factoid
315,0.0,0.0,0.0,7,1,1,Name the incumbent of Linda Jenness ?,[['dbo:incumbent']],['dbp:deputy'],list
322,0.5,0.3333333333333333,0.4,21,2,3,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:placeOfBurial', 'dbp:restingplace']",factoid
324,0.5,0.5,0.5,12,2,2,What are some other services of the company whose service is Onedrive?,"[['dbo:service'], ['dbp:services']]","['dbp:products', 'dbp:services']",factoid
328,0.0,0.0,0.0,8,1,0,Name the street address of Rhodes-Haverty Building ?,[['dbp:address']],[],list
347,0.0,0.0,0.0,10,2,2,In which municipalities does the NYC housing authority own buildings?,"[['dbo:owningOrganisation'], ['dbo:municipality']]","['dbo:location', 'dbo:tenant']",factoid
354,0.0,0.0,0.0,14,2,3,Give me all the alma mater of the relatives of Samuek Moreno Rojas ?,"[['dbo:relation'], ['dbp:almaMater']]","['dbo:almaMater', 'dbo:relative', 'dbp:relatives']",list
361,0.0,0.0,0.0,6,1,2,which country is john berry from,[['dbo:birthPlace']],"['dbo:artist', 'dbo:nationality']",factoid
367,0.0,0.0,0.0,7,1,0,Is Pixar Canada a subsidiary of Pixar?,[['dbo:subsidiary']],[],boolean
371,0.0,0.0,0.0,8,1,1,Name the branch of Carroll E. Lanier ?,[['dbp:branch']],['dbo:relative'],list
374,0.0,0.0,0.0,6,1,2,what state is mountain view from?,[['dbo:location']],"['dbo:country', 'dbo:isPartOf']",factoid
384,0.0,0.0,0.0,7,1,1,kwyi's mainly plays what type of music?,[['dbo:programmeFormat']],['dbo:genre'],list
388,0.0,0.0,0.0,6,1,1,Give me the Apollo 14 astronauts.,[['dbo:mission']],['dbp:mission'],list
