,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right
31,1.0,1.0,1.0,8,1,1,which comedy album was recorded by bob saget?,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,8,1,1,[['dbo:type']],['dbo:artist']
58,1.0,1.0,1.0,8,1,1,Which language family do uto-aztecan languages belong to?,[['dbo:languageFamily']],['dbo:languageFamily'],0.0,0.0,0.0,8,1,1,[['dbo:languageFamily']],['dbo:language']
77,1.0,1.0,1.0,7,1,1,What are some bands originating in London?,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,7,1,0,[['dbo:hometown']],[]
96,1.0,1.0,1.0,8,1,1,what is a film produced by paul brooks?,[['dbo:producer']],['dbo:producer'],0.0,0.0,0.0,8,1,0,[['dbo:producer']],[]
103,1.0,1.0,1.0,7,1,1,what religion does abul ala maududi have,[['dbp:religion']],['dbp:religion'],0.0,0.0,0.0,7,1,1,[['dbp:religion']],['dbo:religion']
110,1.0,1.0,1.0,5,1,1,what type of organization is,[['dbo:industry']],['dbo:industry'],0.0,0.0,0.0,5,1,1,[['dbo:industry']],['dbo:type']
118,1.0,1.0,1.0,10,1,1,Name of album by the alternative metal band drowning pool.,[['dbo:artist']],['dbo:artist'],0.0,0.0,0.0,10,1,1,[['dbo:artist']],['dbo:genre']
129,1.0,1.0,1.0,8,1,1,Which ingredients do I need for carrot cake?,[['dbo:ingredient']],['dbo:ingredient'],0.0,0.0,0.0,8,1,0,[['dbo:ingredient']],[]
155,1.0,1.0,1.0,5,1,1,where is kristen hall from,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,5,1,1,[['dbo:hometown']],['dbo:birthPlace']
209,1.0,1.0,1.0,6,1,1,Where is frederick baldwin adams from?,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,6,1,1,[['dbo:nationality']],['dbo:birthPlace']
211,0.5,1.0,0.6666666666666666,11,2,1,Who designed the stadiums which have been rented by Oakland athletics?,"[['dbo:tenant'], ['dbp:architect']]",['dbo:tenant'],0.0,0.0,0.0,11,2,1,"[['dbo:tenant'], ['dbp:architect']]",['dbo:architect']
244,1.0,1.0,1.0,7,1,1,where was the origin of raul seixas?,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,7,1,1,[['dbo:birthPlace']],['dbo:hometown']
261,1.0,1.0,1.0,11,1,1,What are the baseball players who played for San Francisco Giants?,[['dbo:team']],['dbo:team'],0.0,0.0,0.0,11,1,0,[['dbo:team']],[]
