,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,question_type_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right,question_type_right
3,1.0,1.0,1.0,10,1,1,how can fabric 12: the amalgamation of soundz be characterized,[['dbo:type']],['dbo:type'],factoid,0.0,0.0,0.0,10,1,1,[['dbo:type']],['dbo:genre'],factoid
7,0.5,0.5,0.5,19,2,2,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbp:leader']",factoid,0.0,0.0,0.0,19,2,0,"[['dbo:affiliation'], ['dbo:affiliation']]",[],factoid
24,0.5,0.5,0.5,17,2,2,Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?,"[['dbp:office'], ['dbp:predecessor']]","['dbo:predecessor', 'dbp:predecessor']",list,0.0,0.0,0.0,17,2,0,"[['dbp:office'], ['dbp:predecessor']]",[],list
44,0.5,1.0,0.6666666666666666,10,2,1,How many services does the company who made Onedrive provide?,"[['dbo:service'], ['dbp:services']]",['dbp:services'],count,0.0,0.0,0.0,10,2,0,"[['dbo:service'], ['dbp:services']]",[],count
70,1.0,1.0,1.0,7,1,1,What album was produced by big business,[['dbo:artist']],['dbo:artist'],factoid,0.0,0.0,0.0,7,1,1,[['dbo:artist']],['dbo:type'],factoid
77,1.0,1.0,1.0,7,1,1,Does the river shannon originate from Dowra?,[['dbo:sourceMountain']],['dbo:sourceMountain'],boolean,0.0,0.0,0.0,7,1,0,[['dbo:sourceMountain']],[],boolean
118,1.0,0.5,0.6666666666666666,8,1,2,who is the mother of margaret woodrow wilson,[['dbo:child']],"['dbo:child', 'dbo:parent']",factoid,0.0,0.0,0.0,8,1,1,[['dbo:child']],['dbo:parent'],factoid
124,0.5,1.0,0.6666666666666666,14,2,1,What is the county seat of the county which has an Evergreen High School?,"[['dbo:county'], ['dbo:countySeat']]",['dbo:countySeat'],factoid,0.0,0.0,0.0,14,2,0,"[['dbo:county'], ['dbo:countySeat']]",[],factoid
127,0.5,1.0,0.6666666666666666,13,2,1,What show had NTSC format and theme music composed by  Ron Grainer?,"[['dbo:format'], ['dbp:themeMusicComposer']]",['dbp:themeMusicComposer'],factoid,0.0,0.0,0.0,13,2,0,"[['dbo:format'], ['dbp:themeMusicComposer']]",[],factoid
128,1.0,1.0,1.0,9,1,1,What are a few molluscas whose family is Buccinidae?,[['dbo:family']],['dbo:family'],factoid,0.0,0.0,0.0,9,1,0,[['dbo:family']],[],factoid
130,0.5,1.0,0.6666666666666666,10,2,1,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]",['dbo:manufacturer'],factoid,0.0,0.0,0.0,10,2,0,"[['dbp:founder'], ['dbo:manufacturer']]",[],factoid
133,0.5,0.5,0.5,21,2,2,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:restingplace']",factoid,0.0,0.0,0.0,21,2,0,"[['dbp:restingplace'], ['dbp:restingplace']]",[],factoid
