,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,cleaned,cluster,x0,x1
2,0.0,0.0,0.0,6,1,1,What country is charlie monroe from?,[['dbo:birthPlace']],['dbo:nationality'],factoid,country charlie monroe ?,0,-0.0517084218871539,-0.01915180555699161
4,0.0,0.0,0.0,5,1,1,who wrote the martian child,[['dbo:author']],['dbo:writer'],factoid,wrote martian child,0,-0.0372886916209359,-0.017088018720300746
15,0.0,0.0,0.0,15,2,0,What is the religion of the leader of South Korean legislative election of 1992 ?,"[['dbp:leader'], ['dbo:religion']]",[],factoid,religion leader south korean legislative election 1992 ?,0,-0.032008552436227924,-0.014991264920620003
21,0.0,0.0,0.0,8,1,0,Is KOMC-FM the sister station of KOMC (AM)?,[['dbo:sisterStation']],[],boolean,komc-fm sister station komc ( ) ?,0,-0.025864417727905886,-0.015136697196569661
35,0.0,0.0,0.0,6,1,1,what company produced bill and ted?,[['dbp:productionCompanies']],['dbp:studio'],factoid,company produced bill ted ?,0,-0.04150297645207336,-0.024271933434911235
50,0.0,0.0,0.0,7,1,1,what is the nationality of guri schanke?,[['dbo:hometown']],['dbo:nationality'],factoid,nationality guri schanke ?,0,-0.033933397661378546,-0.018914696294142087
54,0.0,0.0,0.0,12,2,0,"What nation is Hornito located in, where Jamie Bateman Cayn died too?","[['dbo:country'], ['dbo:deathPlace']]",[],factoid,"nation hornito located , jamie bateman cayn died ?",0,-0.05267201265342957,-0.006766261594812791
55,0.0,0.0,0.0,12,2,0,What is the destinations of the airline whose headquarters is in Manchester?,"[['dbp:headquarters'], ['dbp:destinations']]",[],factoid,destinations airline whose headquarters manchester ?,0,-0.029675498095285118,-0.012220019284465802
64,0.0,0.0,0.0,6,1,1,What country is anita pointer from?,[['dbo:hometown']],['dbo:nationality'],factoid,country anita pointer ?,0,-0.045754679124018795,-0.016042716856579424
68,0.0,0.0,0.0,11,2,0,In which cities do some railways operated by Russian railways start?,"[['dbo:operatedBy'], ['dbo:routeStart']]",[],factoid,cities railways operated russian railways start ?,0,-0.03008907447982741,-0.014914750305229485
73,0.0,0.0,0.0,8,1,1,what art forms did pier francesco mola create,[['dbo:field']],['dbo:movement'],factoid,art forms pier francesco mola create,0,-0.019625377111862064,-0.018010085084685983
