,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type
2,0.0,0.0,0.0,11,1,1,Does Sonny Bill Williams belong in the Canterbury Bankstown Bulldogs club?,[['dbp:club']],['dbp:owner'],boolean
6,0.0,0.0,0.0,5,1,1,where was syd bidwell born,[['dbo:deathPlace']],['dbo:birthPlace'],factoid
31,0.0,0.0,0.0,13,1,2,what is the name of an independent Catholic girls' secondary school in Vancouver,[['dbo:type']],"['dbo:city', 'dbo:location']",factoid
38,0.0,0.0,0.0,5,1,1,what genre is the separation,[['dbo:literaryGenre']],['dbo:genre'],factoid
52,0.0,0.0,0.0,9,1,1,which one of slade's albums was released in 1973?,[['dbo:type']],['dbo:artist'],factoid
60,0.0,0.0,0.0,9,1,1,To which military division does Clark Daniel Stearns belong?,[['dbo:militaryBranch']],['dbo:division'],factoid
75,0.0,0.0,0.0,7,1,2,where would you find weed patch hill,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid
97,0.0,0.0,0.0,12,1,1,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],['dbp:artist'],factoid
98,0.0,0.0,0.0,6,1,1,who was albrecht von graefe's father,[['dbo:parent']],['dbo:child'],factoid
104,0.0,0.0,0.0,12,2,1,How many things are made by companies who produce mass media articles?,"[['dbp:products'], ['dbo:manufacturer']]",['dbo:product'],count
130,0.0,0.0,0.0,9,1,1,List the people with Scientology as their religious belief?,[['dbo:religion']],['dbp:religion'],list
131,0.0,0.0,0.0,5,1,1,Where is roussan camille from,[['dbo:nationality']],['dbo:birthPlace'],factoid
141,0.0,0.0,0.0,9,1,1,What is the official residence of Sarah Kazemy ?,[['dbp:residence']],['dbo:residence'],factoid
154,0.0,0.0,0.0,5,1,1,what type of organization is,[['dbo:industry']],['dbo:type'],factoid
155,0.0,0.0,0.0,7,1,1,in which movies have momoki kochi acted,[['dbp:starring']],['dbo:starring'],factoid
156,0.0,0.0,0.0,9,1,1,Where is the church of st peter ad vincula,[['dbo:location']],['dbo:religion'],factoid
166,0.0,0.0,0.0,6,1,1,what is the genre of anthology,[['dbo:genre']],['dbo:literaryGenre'],factoid
169,0.0,0.0,0.0,6,1,1,Was Reza Amrollahi born in Iran?,[['dbp:birthplace']],['dbo:birthPlace'],boolean
179,0.0,0.0,0.0,15,2,1,What are some common games played in PATTS college of aeronautics and Jamiatu muslim mindanao?,"[['dbp:athletics'], ['dbp:athletics']]",['dbo:sport'],factoid
189,0.0,0.0,0.0,18,2,1,Name the team for which Cam Plante played for which were also the tenants of MasterCard center ?,"[['dbp:playedFor'], ['dbp:tenants']]",['dbo:tenant'],list
194,0.0,0.0,0.0,7,1,1,Who played Gus Fring in Breaking Bad?,[['dbo:portrayer']],['dbo:team'],factoid
206,0.0,0.0,0.0,10,1,1,Ryan Seacrest has been the presenter of how many things?,[['dbo:presenter']],['dbp:presenter'],count
208,0.0,0.0,0.0,6,1,1,What release included the recording fantasy,[['dbo:birthPlace']],['dbo:type'],factoid
216,0.0,0.0,0.0,6,1,1,What country is lawson robinson from?,[['dbo:birthPlace']],['dbo:nationality'],factoid
230,0.0,0.0,0.0,8,1,1,Was Let it Be written by Ringo Starr?,[['dbo:musicBy']],['dbp:writer'],boolean
232,0.0,0.0,0.0,6,1,1,which country is john mahaffey from,[['dbo:nationality']],['dbo:birthPlace'],factoid
236,0.0,0.0,0.0,7,1,2,what print media is found in kolkata,[['dbo:headquarter']],"['dbo:isPartOf', 'dbo:location']",factoid
238,0.0,0.0,0.0,11,1,1,Who is the composer of Girl from the North Country ?,[['dbo:composer']],['dbp:composer'],factoid
240,0.0,0.0,0.0,6,1,1,which country is davey moore from,[['dbo:nationality']],['dbo:birthPlace'],factoid
248,0.0,0.0,0.0,4,1,1,what nationality is mia,[['dbo:birthPlace']],['dbo:country'],factoid
262,0.0,0.0,0.0,16,2,1,What is the nationality of the entomologist who is a renowned authority of Smerinthus saliceti ?,"[['dbo:binomialAuthority'], ['dbo:citizenship']]",['dbo:country'],factoid
287,0.0,0.0,0.0,14,2,1,Which country of Montaas Mayas Chiquibul is the birth place of Jos Bernardo Escobar?,"[['dbp:birthPlace'], ['dbp:country']]",['dbp:placeOfBirth'],factoid
291,0.0,0.0,0.0,17,2,2,Whihc place of birth of the Union State is also the largest city of Union Staete ?,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbo:largestCity']",list
296,0.0,0.0,0.0,7,1,1,what albums have been released by cher?,[['dbo:artist']],['dbo:type'],factoid
299,0.0,0.0,0.0,10,1,1,how is at the museum of modern art released as?,[['dbo:type']],['dbo:literaryGenre'],factoid
328,0.0,0.0,0.0,17,2,1,What woman acted in the mating habits of earthbound humans and is often associated with Mams taylor?,"[['dbo:associatedMusicalArtist'], ['dbp:starring']]",['dbp:associatedActs'],factoid
369,0.0,0.0,0.0,5,1,1,Where was WiZeefa founded ?,[['dbp:foundation']],['dbo:foundationPlace'],factoid
384,0.0,0.0,0.0,6,1,2,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf']",factoid
385,0.0,0.0,0.0,6,1,2,what country is sidneys knob in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district']",factoid
421,0.0,0.0,0.0,14,2,3,How many shows are made by the channel whose predecessor was the Comedy Channel?,"[['dbp:network'], ['dbo:predecessor']]","['dbo:creator', 'dbp:company', 'dbp:predecessor']",count
426,0.0,0.0,0.0,7,1,1,what is the nationality of pat o'connor,[['dbo:nationality']],['dbo:birthPlace'],factoid
446,0.0,0.0,0.0,8,1,1,How many missions does the Soyuz programme have?,[['dbp:programme']],['dbp:mission'],count
488,0.0,0.0,0.0,8,1,1,To which persons is Ron Cyrus a relative?,[['dbp:relatives']],['dbo:relative'],factoid
498,0.0,0.0,0.0,10,1,1,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],['dbo:isPartOf'],boolean
518,0.0,0.0,0.0,7,1,1,who is one of vikram sarabhai's children,[['dbo:parent']],['dbo:child'],factoid
519,0.0,0.0,0.0,8,1,1,"List few schools situated in Reading, Berkshire ?",[['dbp:city']],['dbo:city'],list
520,0.0,0.0,0.0,7,1,1,what is the nationality of devin bronson?,[['dbo:hometown']],['dbo:birthPlace'],factoid
527,0.0,0.0,0.0,9,1,1,Name an a cappella group based in Puerto Rico.,[['dbo:genre']],['dbo:location'],list
530,0.0,0.0,0.0,7,1,1,Which religion did matthew festing identify with,[['dbp:religion']],['dbo:religion'],factoid
532,0.0,0.0,0.0,5,1,1,Where did andy gustafson die,[['dbp:deathPlace']],['dbo:deathPlace'],factoid
535,0.0,0.0,0.0,4,1,1,Who wrote echo park,[['dbo:author']],['dbo:writer'],factoid
