,recall,precision,f1,word_count,rel_count,sys_relations,question,gold_relations,system_relations,question_type,training_count
19,0.5,0.2,0.2857142857142857,19,2,5,"Who won the general elections in India in 2009, and had also won the AP elections in 2004 ?","[['dbo:affiliation'], ['dbo:affiliation']]","['dbo:affiliation', 'dbo:birthPlace', 'dbo:isPartOf', 'dbp:constituency', 'dbp:leader']",factoid,"[[15], [15]]"
41,0.5,0.2,0.2857142857142857,14,2,5,Name the narrators of the album which has been narrated by Alan Thicke ?,"[['dbp:narrated'], ['dbp:narrated']]","['dbo:narrator', 'dbo:type', 'dbp:awards', 'dbp:birthPlace', 'dbp:narrated']",list,"[[12], [12]]"
47,0.5,0.2,0.2857142857142857,13,2,5,What company is the one which wrote the google web toolkit and PlayN?,"[['dbo:author'], ['dbo:author']]","['dbo:author', 'dbp:author', 'dbp:developer', 'dbp:products', 'dbp:writer']",factoid,"[[426], [426]]"
75,0.0,0.0,0.0,7,1,5,where would you find weed patch hill,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district', 'dbo:isPartOf', 'dbo:location', 'dbo:state']",factoid,[[1072]]
97,0.0,0.0,0.0,12,1,5,What are the artists that have been in the band Framptons camel?,[['dbp:associatedActs']],"['dbo:associatedBand', 'dbo:associatedMusicalArtist', 'dbo:bandMember', 'dbo:musicalArtist', 'dbp:artist']",factoid,[[19]]
133,0.5,0.2,0.2857142857142857,16,2,5,"To what did the parliament member swore her oath to, whose has sons is Lohan Ratwatte?","[['dbo:child'], ['dbp:allegiance']]","['dbo:militaryBranch', 'dbp:allegiance', 'dbp:branch', 'dbp:office', 'dbp:predecessor']",factoid,"[[150], [15]]"
156,0.0,0.0,0.0,9,1,5,Where is the church of st peter ad vincula,[['dbo:location']],"['dbo:country', 'dbo:deathPlace', 'dbo:region', 'dbo:religion', 'dbp:religion']",factoid,[[1670]]
177,0.5,0.2,0.2857142857142857,16,2,5,"List all the hubs of the airline whose one of the hub is Subang, Indonesia ?","[['dbp:hubs'], ['dbp:hubs']]","['dbo:birthPlace', 'dbo:hubAirport', 'dbo:operator', 'dbp:hubs', 'dbp:religion']",list,"[[10], [10]]"
179,0.5,0.2,0.2857142857142857,15,2,5,What are some common games played in PATTS college of aeronautics and Jamiatu muslim mindanao?,"[['dbp:athletics'], ['dbp:athletics']]","['dbo:almaMater', 'dbo:athletics', 'dbo:sport', 'dbp:almaMater', 'dbp:athletics']",factoid,"[[19], [19]]"
189,0.5,0.2,0.2857142857142857,18,2,5,Name the team for which Cam Plante played for which were also the tenants of MasterCard center ?,"[['dbp:playedFor'], ['dbp:tenants']]","['dbo:formerTeam', 'dbo:team', 'dbo:tenant', 'dbp:playedFor', 'dbp:team']",list,"[[16], [10]]"
208,0.0,0.0,0.0,6,1,5,What release included the recording fantasy,[['dbo:birthPlace']],"['dbo:artist', 'dbo:country', 'dbo:literaryGenre', 'dbo:region', 'dbo:type']",factoid,[[4201]]
230,0.0,0.0,0.0,8,1,5,Was Let it Be written by Ringo Starr?,[['dbo:musicBy']],"['dbo:author', 'dbo:literaryGenre', 'dbp:author', 'dbp:magazine', 'dbp:writer']",boolean,[[10]]
243,0.5,0.2,0.2857142857142857,18,2,5,What is a common nickname given to both Lyons Township high school and the wheaton college in massachusetts?,"[['dbp:nickname'], ['dbp:nickname']]","['dbo:almaMater', 'dbo:artist', 'dbo:birthPlace', 'dbp:birthPlace', 'dbp:nickname']",factoid,"[[19], [19]]"
253,0.5,0.2,0.2857142857142857,12,2,5,What is a common ingredient used in boyt Blodpalt and Kaszanka ?,"[['dbo:ingredient'], ['dbo:ingredient']]","['dbo:city', 'dbo:country', 'dbo:ingredient', 'dbp:country', 'dbp:mainIngredient']",factoid,"[[21], [21]]"
262,0.0,0.0,0.0,16,2,5,What is the nationality of the entomologist who is a renowned authority of Smerinthus saliceti ?,"[['dbo:binomialAuthority'], ['dbo:citizenship']]","['dbo:country', 'dbo:knownFor', 'dbo:nationality', 'dbp:birthPlace', 'dbp:knownFor']",factoid,"[[9], [16]]"
273,0.5,0.2,0.2857142857142857,8,2,5,How many sports are played in maharashtran schools?,"[['dbo:sport'], ['dbp:state']]","['dbo:athletics', 'dbo:city', 'dbo:sport', 'dbo:state', 'dbp:athletics']",count,"[[41], [21]]"
279,0.5,0.2,0.2857142857142857,9,2,5,Which city's teams have been coached by Gary Kubaik?,"[['dbp:coach'], ['dbo:locationCity']]","['dbo:city', 'dbo:coach', 'dbp:coach', 'dbp:headCoach', 'dbp:team']",factoid,"[[10], [25]]"
287,0.0,0.0,0.0,14,2,5,Which country of Montaas Mayas Chiquibul is the birth place of Jos Bernardo Escobar?,"[['dbp:birthPlace'], ['dbp:country']]","['dbo:birthPlace', 'dbo:region', 'dbp:birthplace', 'dbp:locationCountry', 'dbp:placeOfBirth']",factoid,"[[1526], [18]]"
291,0.0,0.0,0.0,17,2,5,Whihc place of birth of the Union State is also the largest city of Union Staete ?,"[['dbp:placeOfBirth'], ['dbp:largestCity']]","['dbo:birthPlace', 'dbo:largestCity', 'dbp:birthPlace', 'dbp:birthplace', 'dbp:placeOfDeath']",list,"[[41], [4]]"
359,0.5,0.2,0.2857142857142857,15,2,5,"Where are the agencies headquartered at, which are under the Colorado Dept of Natural Resources?","[['dbo:parentOrganisation'], ['dbp:headquarters']]","['dbo:headquarter', 'dbo:leader', 'dbo:leaderName', 'dbp:headquarters', 'dbp:office']",factoid,"[[10], [32]]"
383,0.5,0.2,0.2857142857142857,8,2,5,Where are Aureus and Solidus used as currency?,"[['dbo:currency'], ['dbo:currency']]","['dbo:capital', 'dbo:currency', 'dbo:field', 'dbo:recordLabel', 'dbp:currency']",factoid,"[[21], [21]]"
384,0.0,0.0,0.0,6,1,5,what state is sugar loaf in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:isPartOf', 'dbo:location', 'dbo:region', 'dbo:state']",factoid,[[1072]]
420,0.5,0.2,0.2857142857142857,14,2,5,What is the county seat of the county which has an Evergreen High School?,"[['dbo:county'], ['dbo:countySeat']]","['dbo:birthPlace', 'dbo:countySeat', 'dbo:district', 'dbo:localAuthority', 'dbo:sport']",factoid,"[[10], [10]]"
432,0.5,0.2,0.2857142857142857,13,2,5,What show had NTSC format and theme music composed by  Ron Grainer?,"[['dbo:format'], ['dbp:themeMusicComposer']]","['dbo:genre', 'dbo:type', 'dbp:creator', 'dbp:genre', 'dbp:themeMusicComposer']",factoid,"[[4], [28]]"
442,0.5,0.2,0.2857142857142857,10,2,5,What is manufactured by a company founded by Akio Morita?,"[['dbp:founder'], ['dbo:manufacturer']]","['dbo:foundationPlace', 'dbo:industry', 'dbo:locationCity', 'dbo:manufacturer', 'dbp:keyPeople']",factoid,"[[25], [58]]"
446,0.0,0.0,0.0,8,1,5,How many missions does the Soyuz programme have?,[['dbp:programme']],"['dbo:broadcastArea', 'dbo:religion', 'dbo:series', 'dbp:mission', 'dbp:type']",count,[[1]]
447,0.5,0.2,0.2857142857142857,21,2,5,What is the total number of other restingplace of the politicians whose one of the restingplace is East Norwalk Historical Cemetery?,"[['dbp:restingplace'], ['dbp:restingplace']]","['dbo:restingPlace', 'dbp:deathPlace', 'dbp:placeOfBurial', 'dbp:restingPlace', 'dbp:restingplace']",factoid,"[[25], [25]]"
453,0.5,0.2,0.2857142857142857,6,2,5,Greek writers have won which award?,"[['dbp:ethnicity'], ['dbo:award']]","['dbo:award', 'dbo:literaryGenre', 'dbo:occupation', 'dbp:awards', 'dbp:movement']",list,"[[8], [67]]"
497,0.5,0.2,0.2857142857142857,10,2,5,What cities are around the sea which flows into Marmara?,"[['dbp:inflow'], ['dbp:cities']]","['dbo:city', 'dbo:outflow', 'dbo:state', 'dbp:cities', 'dbp:outflow']",factoid,"[[7], [31]]"
498,0.0,0.0,0.0,10,1,5,Do the White Plains Road lie in the Bronx county?,[['dbp:counties']],"['dbo:genre', 'dbo:isPartOf', 'dbo:sourceRegion', 'dbo:writer', 'dbp:office']",boolean,[[5]]
519,0.0,0.0,0.0,8,1,5,"List few schools situated in Reading, Berkshire ?",[['dbp:city']],"['dbo:campus', 'dbo:city', 'dbo:education', 'dbo:location', 'dbo:type']",list,[[28]]
521,0.5,0.2,0.2857142857142857,14,2,5,List the film starring of the movies whose editor is Harvey  Rosenstock ?,"[['dbo:editing'], ['dbp:starring']]","['dbo:editing', 'dbo:starring', 'dbp:editing', 'dbp:editor', 'dbp:music']",list,"[[90], [31]]"
534,0.5,0.2,0.2857142857142857,9,2,5,For how many cities's teams did David Bowens play?,"[['dbo:formerTeam'], ['dbo:locationCity']]","['dbo:city', 'dbo:formerTeam', 'dbo:team', 'dbp:playedFor', 'dbp:team']",count,"[[36], [25]]"
545,0.5,0.2,0.2857142857142857,11,2,5,Through how many cities does the river flowing into Arkansas go?,"[['dbo:city'], ['dbo:mouthMountain']]","['dbo:city', 'dbo:rightTributary', 'dbo:riverMouth', 'dbo:state', 'dbp:city']",count,"[[1218], [11]]"
576,0.0,0.0,0.0,6,1,5,which continent is menengai located in?,[['dbo:locatedInArea']],"['dbo:country', 'dbo:district', 'dbo:isPartOf', 'dbo:location', 'dbo:region']",factoid,[[1072]]
599,0.5,0.2,0.2857142857142857,14,2,5,What is the largest city in the country where the San Marcos River originates?,"[['dbo:sourceMountain'], ['dbo:largestCity']]","['dbo:areaTotal', 'dbo:capital', 'dbo:largestCity', 'dbo:origin', 'dbp:birthplace']",factoid,"[[11], [23]]"
609,0.0,0.0,0.0,8,1,5,Does Walson Augustin play for the Brothers Union?,[['dbp:currentclub']],"['dbo:city', 'dbo:distributor', 'dbo:isPartOf', 'dbo:region', 'dbo:state']",boolean,[[12]]
616,0.5,0.2,0.2857142857142857,12,2,5,Who originally wrote the manga which was later illustrated by Tamon Ohta?,"[['dbo:illustrator'], ['dbp:author']]","['dbp:author', 'dbp:developer', 'dbp:distributor', 'dbp:illustrator', 'dbp:writer']",factoid,"[[3], [24]]"
631,0.5,0.2,0.2857142857142857,14,2,5,"List some teams for which someone who has played as a defender, now plays?","[['dbp:position'], ['dbo:team']]","['dbo:formerTeam', 'dbo:position', 'dbo:team', 'dbp:playedFor', 'dbp:team']",list,"[[16], [46]]"
633,0.0,0.0,0.0,9,1,5,what type of disaster was the san juanico disaster?,[['dbo:birthPlace']],"['dbo:deathCause', 'dbo:place', 'dbo:type', 'dbp:areas', 'dbp:genre']",factoid,[[4201]]
651,0.5,0.2,0.2857142857142857,15,2,5,Which company was the designer of South African class 11e and RENFE class 333 ?,"[['dbo:designer'], ['dbo:designer']]","['dbo:designer', 'dbo:nationality', 'dbo:sport', 'dbp:designer', 'dbp:owner']",factoid,"[[11], [11]]"
660,0.5,0.2,0.2857142857142857,15,2,5,Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores ?,"[['dbo:almaMater'], ['dbo:university']]","['dbo:almaMater', 'dbo:campus', 'dbo:education', 'dbo:institution', 'dbp:education']",factoid,"[[45], [10]]"
673,0.0,0.0,0.0,5,1,5,Is Akan spoken in Ghana?,[['dbp:languages']],"['dbo:language', 'dbo:officialLanguage', 'dbo:sourceCountry', 'dbp:language', 'dbp:region']",boolean,[[7]]
676,0.5,0.2,0.2857142857142857,6,2,5,What do typically NGOs work for?,"[['dbp:type'], ['dbp:purpose']]","['dbo:employer', 'dbo:foundedBy', 'dbo:industry', 'dbp:employer', 'dbp:purpose']",factoid,"[[12], [15]]"
698,0.0,0.0,0.0,12,1,5,Into what military organizations is the United States Department of Defense divided?,[['dbo:commandStructure']],"['dbo:city', 'dbo:country', 'dbo:headquarter', 'dbo:state', 'dbp:studio']",factoid,[[8]]
701,0.0,0.0,0.0,10,1,5,"Which famous person is born in Marlboro Township, New Jersey?",[['dbp:homeTown']],"['dbo:birthPlace', 'dbo:hometown', 'dbo:isPartOf', 'dbp:birthPlace', 'dbp:placeOfBirth']",factoid,[[9]]
715,0.5,0.2,0.2857142857142857,14,2,5,How many titles have been won by the beauty queens which had brown hair?,"[['dbp:hairColor'], ['dbp:title']]","['dbo:artist', 'dbo:award', 'dbo:birthPlace', 'dbo:honours', 'dbp:title']",count,"[[4], [16]]"
726,0.5,0.2,0.2857142857142857,14,2,5,In which areas can we find the networks owned by the govt of Mauritius?,"[['dbo:owningCompany'], ['dbp:broadcastArea']]","['dbo:broadcastArea', 'dbo:city', 'dbo:owner', 'dbp:broadcastArea', 'dbp:location']",factoid,"[[10], [11]]"
729,0.0,0.0,0.0,11,1,5,What is the baseball team whose club manager is Chip Hale?,[['dbp:manager']],"['dbo:league', 'dbo:manager', 'dbo:position', 'dbo:team', 'dbp:team']",factoid,[[4]]
743,0.5,0.2,0.2857142857142857,17,2,5,Give me an estimate number of races where horses grandsired by the Wild Risk have raced in?,"[['dbp:race'], ['dbo:grandsire']]","['dbo:honours', 'dbo:mountainRange', 'dbp:deathPlace', 'dbp:race', 'dbp:trainer']",list,"[[16], [4]]"
