,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right
13,0.5,1.0,0.6666666666666666,13,2,1,Count the number of things people who know linguistics are known for ?,"[['dbo:knownFor'], ['dbo:knownFor']]",['dbo:knownFor'],0.0,0.0,0.0,13,2,0,"[['dbo:knownFor'], ['dbo:knownFor']]",[]
72,1.0,1.0,1.0,11,1,1,what kind of comdey is not the end of the world,[['dbo:literaryGenre']],['dbo:literaryGenre'],0.0,0.0,0.0,11,1,1,[['dbo:literaryGenre']],['dbo:genre']
84,1.0,1.0,1.0,7,1,1,What genre is against a dark background,[['dbo:literaryGenre']],['dbo:literaryGenre'],0.0,0.0,0.0,7,1,1,[['dbo:literaryGenre']],['dbo:genre']
224,1.0,1.0,1.0,7,1,2,Who was david a. hargrave influemced by,"[['dbo:influencedBy', 'dbo:influenced']]","['dbo:influenced', 'dbo:influencedBy']",0.0,0.0,0.0,7,1,0,"[['dbo:influencedBy', 'dbo:influenced']]",[]
420,0.5,1.0,0.6666666666666666,6,2,1,Which awards have Puerto Ricons won?,"[['dbo:ethnicity'], ['dbp:awards']]",['dbp:awards'],0.0,0.0,0.0,6,2,1,"[['dbo:ethnicity'], ['dbp:awards']]",['dbo:award']
479,1.0,1.0,1.0,10,1,1,what are some of the plays written by noel coward?,[['dbo:author']],['dbo:author'],0.0,0.0,0.0,10,1,1,[['dbo:author']],['dbp:writer']
496,1.0,1.0,1.0,8,1,1,Which nation is walter j. zable originally from?,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,8,1,1,[['dbo:hometown']],['dbo:birthPlace']
537,0.5,1.0,0.6666666666666666,12,2,1,How many sports are played in organizations presided by Emanuel de Guzman?,"[['dbo:sport'], ['dbo:president']]",['dbo:sport'],0.0,0.0,0.0,12,2,0,"[['dbo:sport'], ['dbo:president']]",[]
590,1.0,1.0,1.0,10,1,1,"What type of show is kapag may katwiran, ipaglaban mo!?",[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,10,1,1,[['dbo:genre']],['dbp:genre']
628,0.5,0.5,0.5,13,2,2,In which wars were people from the Saudi Arabian ministry of defense involved?,"[['dbp:office'], ['dbp:battles']]","['dbo:battle', 'dbp:battles']",0.0,0.0,0.0,13,2,0,"[['dbp:office'], ['dbp:battles']]",[]
634,0.5,1.0,0.6666666666666666,16,2,1,How many things are manufactured by the company whose subsidiary is Sony Corporation shareholders and subsidiaries?,"[['dbo:subsidiary'], ['dbo:manufacturer']]",['dbo:manufacturer'],0.0,0.0,0.0,16,2,0,"[['dbo:subsidiary'], ['dbo:manufacturer']]",[]
665,1.0,1.0,1.0,5,1,1,Who wrote the red violin?,[['dbo:writer']],['dbo:writer'],0.0,0.0,0.0,5,1,1,[['dbo:writer']],['dbo:instrument']
743,1.0,0.5,0.6666666666666666,6,1,2,what tv genre is barney miller,[['dbo:genre']],"['dbo:genre', 'dbp:genre']",0.0,0.0,0.0,6,1,0,[['dbo:genre']],[]
838,1.0,1.0,1.0,9,1,1,This album by Chimaira is an example of deathcore.,[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,9,1,1,[['dbo:genre']],['dbo:artist']
990,0.5,1.0,0.6666666666666666,7,2,1,What is the biggest stadium in Spain?,"[['dbo:location'], ['dbo:seatingCapacity']]",['dbo:location'],0.0,0.0,0.0,7,2,0,"[['dbo:location'], ['dbo:seatingCapacity']]",[]
1132,1.0,1.0,1.0,9,1,1,What is the state whose largest city is Denver?,[['dbo:largestCity']],['dbo:largestCity'],0.0,0.0,0.0,9,1,0,[['dbo:largestCity']],[]
1232,1.0,1.0,1.0,7,1,1,where is the location of sparrows point?,"[['dbo:country', 'dbo:isPartOf']]",['dbo:country'],0.0,0.0,0.0,7,1,0,"[['dbo:country', 'dbo:isPartOf']]",[]
1234,0.5,1.0,0.6666666666666666,5,2,1,When did Dracula's creator die?,"[['dbo:creator'], ['dbo:deathDate']]",['dbo:creator'],0.0,0.0,0.0,5,2,0,"[['dbo:creator'], ['dbo:deathDate']]",[]
1423,1.0,1.0,1.0,7,1,1,What is ii & iii classified as,[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,7,1,0,[['dbo:genre']],[]
1432,1.0,1.0,1.0,8,1,1,What is an album put out by Freeez?,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,8,1,1,[['dbo:type']],['dbo:artist']
1503,1.0,1.0,1.0,9,1,1,what country would you find  possum kingdom lake,[['dbo:location']],['dbo:location'],0.0,0.0,0.0,9,1,1,[['dbo:location']],['dbo:country']
1525,0.5,1.0,0.6666666666666666,21,2,1,What is the owning organisation of the Ford Kansas City Assembly Plant and also the builder of the Ford Y-block engine?,"[['dbo:owningOrganisation'], ['dbo:manufacturer']]",['dbo:manufacturer'],0.0,0.0,0.0,21,2,0,"[['dbo:owningOrganisation'], ['dbo:manufacturer']]",[]
1634,1.0,1.0,1.0,7,1,1,plastic tree has an album titled what?,[['dbo:artist']],['dbo:artist'],0.0,0.0,0.0,7,1,1,[['dbo:artist']],['dbo:type']
1822,1.0,1.0,1.0,7,1,1,Josef Bhler belongs to which political party?,[['dbo:occupation']],['dbo:occupation'],0.0,0.0,0.0,7,1,0,[['dbo:occupation']],[]
1901,1.0,1.0,1.0,5,1,1,where was michael pinnella was,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,5,1,1,[['dbo:birthPlace']],['dbo:country']
